10151475870412592_10052251	j
10200585376410030_5517212	I love it!
10200585376410030_5517543	Jakson L. Donovan
10200585376410030_5517564	Mariam mec ro velodebi :D
10200585376410030_5517767	HAHAHAHA Jasmine Bogaty je veux sa robe!!
10200585376410030_5517889	jajaja
10200585376410030_5517911	love it
10200585376410030_5518104	Jajaja esta bueno;))
10200585376410030_5518183	i love it
10200585376410030_5518242	lol love it
10200585376410030_5518376	i love it!
10200585376410030_5518470	Love it
10200585376410030_5518536	Love Him
10200585376410030_5518573	i love it
10200585376410030_5518711	Love it
10200585376410030_5518781	VVV LMAO VVV (nice)
10200585376410030_5518847	love it!!!!!
10200585376410030_5518908	Jose Vijil ... WE ARE SEEING THISSSSS
10200585376410030_5519010	OMG !!!! I Love Gru !!!!
10200585376410030_5519037	i love it!!!
10200585376410030_5519160	<3 love it
10200585376410030_5519174	jajaj Ba boy!! i LOVE THIS MOVIE
10200585376410030_5519190	jajaja
10200585376410030_5519276	Elijah Abrenica
10200585376410030_5519395	love it!!!!!
10200585376410030_5520183	Hahaha love it! :D
10200585376410030_5520298	Omg love it
10200585376410030_5520314	jajaja
10200585376410030_5520435	love it!
10200585376410030_5521400	love it
10200585376410030_5521938	love it!!   :)
10200585376410030_5523436	Nikki Rapaport!
10200585376410030_5523544	jajajajaja cool video
10200585376410030_5524603	Vivi Gonzalez
10200585376410030_5524863	Jose MV Vega ^.^!!
10200585376410030_5525301	lol love it
10200585376410030_5526702	Jijijij
10200585376410030_5527043	Jaz Rivera
10200585376410030_5527399	Justin Gonzalez
10200585376410030_5527688	love it
10200585376410030_5528541	:p
10200585376410030_5528844	Ewelina Zahora
10200585376410030_5532965	so makin me lol
10200585376410030_5543114	love it love it love it!!!!
10151451768997592_9957025	i love it.
10151451634442592_9950589	Love, love, love it.....
10151451634442592_9951403	I love Gru!!!
10151451634442592_9952035	love...... love...
10151451634442592_9952178	ab un teeno kittens ko doodh pilao...
10151451634442592_9952954	love gru
10151451634442592_9960306	:p
10151451634442592_9964734	diz iz juzz cute!!
10151450171707592_9943160	Kevin, Kevin, bo-bevinBanana-fana fo-fevinFee-Fi-mo-mevinKevin!
10151450171707592_9943431	apoi? ohhhh opa cho kimba
10151450171707592_9944448	Let's make a banana split popsicle.
10151450171707592_9944580	i love bananas too!!!!!!!
10151450171707592_9983410	Jajajajajjaja
10151450171707592_9990964	Rose Marilynn Zarazua vamos a ser nosotras jaja
10151449662542592_9941104	no i believe in god.
10151448444637592_9935872	love it!
10151448444637592_9936094	Lolz! Lav it
10151448444637592_9937248	ok
10151448444637592_9938121	no u dnt hav -,- 
10151448444637592_9940634	love it
10151448444637592_9941252	jajajajaj awesome
10151448444637592_9957158	jajajajaja
10151459176355163_25478252	Joseph H Vo HAHAHA!!
10151459176355163_25478367	Buttom jajaja cute
10151459176355163_25478698	i love it
10151459176355163_25478744	Hugo Garcia jajajajaja
10151459176355163_25479472	Lucero "pff bottom jajajajajajajaja" SON EPICOS ajajaja
10151459176355163_25479744	ok
10151459176355163_25481134	bod-dom
10151459176355163_25481583	Jjjjjjjjj bottom
10151459176355163_25482553	Haha.. inlove :3
10151459176355163_25484352	nice move
10151459176355163_25484569	love, love, love
10151459176355163_25484942	Mazen Najm  :)
10151459176355163_25499548	Irving Tejada :) jejeje minion falls in love...
10151459176355163_25499552	nice movie
10151459176355163_25502403	Bottom jajajajaja Sheareliz Maldonado
10151459176355163_25502538	Brenda Garza Jajaja 
10151459176355163_25503336	jajajaja esta buena esta movie
10151459176355163_25504547	Jajajajajajaja
10151459176355163_25505767	Lizzet Zavala
10151459176355163_25506198	ahaha, zaljubim se pet - sest puta u roku od 3 minuta! :D
10151459176355163_25514658	Sema Chabo Aline Kim Minaj B
10151459176355163_25514859	i love it
10151459176355163_25521315	Love it
10151459176355163_25526095	hay ajjajajaj barbarbida ajajajajaajaj <3
10151459176355163_25526391	jajajaja q graciosos son :)
10151459176355163_25532801	i love it
10151459176355163_25534081	love it
10151459176355163_25536828	jajaja
10151459176355163_25537158	Dave in love??
10151441542812592_9908704	Olga Najera!!!!!
10151441542812592_9910144	:v
10151441542812592_9910405	I love it <3
10151441542812592_9916413	kik'
10151441542812592_9944867	hey!!! tiruriruu .....jajaja I'm crazy
10151441203797592_9908687	"Slip me some ice!"
10151441203797592_9910314	lol.. Faiz Faris, hoh kelih nih..
10151441203797592_9915202	:p
10151439790857592_9901425	Love it
10151439790857592_9903151	:v
10151439790857592_9915207	:v ha
10151439790857592_9976121	bn Morales 9n .hkkc.   nkpp0bnp
10151439301947592_9898403	oh!kevin....
10151439301947592_9899924	Alejandro !!!!
10151439301947592_9972115	OH poop
10151437914872592_9892320	lol potato lmao love it
10151437914872592_9892365	<3 Marija Janković
10151437914872592_9892459	jajaja !!!!
10151437914872592_9896105	Omg! We love ba-nA-nA
10151436905802592_9890954	Mario Carvajal
10151450219560163_25409003	oh my gosh! I'm stoked
10151450219560163_25409012	pupoi
10151450219560163_25409086	Lucija Kadić     :)
10151450219560163_25409659	Jenna Gravel
10151450219560163_25409830	Panana :) jaja
10151450219560163_25410056	Ohmygod! :))) Jimena Govea
10151450219560163_25410117	no july not june Danielle blake
10151450219560163_25410194	kiero uno jajaj
10151450219560163_25410278	Nicole Pletkovich
10151450219560163_25410308	Jajaja jajaja
10151450219560163_25410411	jajajajajajajajajaja si es sierto
10151450219560163_25410450	jajajajaja son un amor
10151450219560163_25410754	I love it 󾌧
10151450219560163_25410776	Miitzii Gonzalez jajaja si soy un minion jajaja
10151450219560163_25410939	Milovanović Anica <3
10151450219560163_25411043	Sdelinevska Castro....
10151450219560163_25411071	Love it
10151450219560163_25411190	I love it!
10151450219560163_25411199	Bawu Kovářová tvl to musime spolecne se na to podivat xD zadek xD
10151450219560163_25411210	mira Veronica Rosales 5 tolP2 jajajajajajajajaj
10151450219560163_25411472	jeeeej
10151450219560163_25411511	jajajajajajjajaj estan vien graciosos
10151450219560163_25411836	jajjajjajjaaja amo a los minions
10151450219560163_25412094	Zehra Zaidi ...
10151450219560163_25412135	Gustavo Ortiz
10151450219560163_25412152	MeLi!!! ve *-* jaja :D
10151450219560163_25412177	love it
10151450219560163_25412410	Katrina Parubleva :O
10151450219560163_25412428	love it.
10151450219560163_25412486	Elizabeth Gonzalez LIO'S BUTT!
10151450219560163_25412537	Rod Ejan
10151450219560163_25412548	love it!
10151450219560163_25412631	Jackie Moreno Jejeje Awsz(;
10151450219560163_25412882	love it
10151450219560163_25412937	jajajajjajjajjajjajjajajajajajajajajajque rico en la playa  jajajajajajajajajajaja
10151450219560163_25413082	jajaj Diana!!!!!!!!!!!!!!! iremos no ya estas apartada jajajajajajajaj
10151450219560163_25413239	love love minions <3
10151450219560163_25413384	love it!!
10151450219560163_25413471	love love love!!!
10151450219560163_25413673	0.24 jajajaja
10151450219560163_25413790	jojojo la escena de la playita amor jiji asi nos veremos?? chikithos i amarillos? jiji i ojones! jajaj TE AMO MINION!! Marshiitha Quiirvan
10151450219560163_25414251	jajajajajajja lindos
10151450219560163_25414378	Jajaja
10151450219560163_25414459	Ruben Herrero juajja mire... :D
10151450219560163_25414698	Jonathan Gonzalez Avalos
10151450219560163_25414739	Jajajaja
10151450219560163_25414780	lol jajajaja!!!
10151450219560163_25415235	DavEs Galindo Aguila jajajajajaja cheto pobresin xD
10151450219560163_25415305	Nice :)))) loved 1 :))))
10151450219560163_25416069	Banana!!! Love <3
10151450219560163_25416083	Arsalan Azadi bia mano az kafe zamin jam kon !
10151450219560163_25416689	Dajana Pavić
10151450219560163_25418448	Poparaziiez Ploiizz !!! <3 in love
10151450219560163_25418754	love it <3
10151450219560163_25418761	love
10151450219560163_25418843	good movie
10151450219560163_25419488	it's look like a good movie!
10151450219560163_25419764	Jijijiji son lo máximo
10151450219560163_25420866	PolvoriTa Martinez Garza mira jajajajaja tus minions!
10151450219560163_25422727	Jajajaa Laura  y xq no los etiquetas xp amor pero yo ya no tan pekeño jejej tkiero
10151450219560163_25422831	Nicolas jaye man bebin in sorat nemizareke
10151450219560163_25422835	Navid navid
10151450219560163_25422933	Majo Delgado
10151450219560163_25423965	Love it
10151450219560163_25423990	Love it jajajajajajahahaha
10151450219560163_25424290	jajajaja me gusto
10151450219560163_25425074	i love it
10151450219560163_25425699	Benja Garcia
10151450219560163_25425994	jajaja tan buena como la primera
10151450219560163_25430146	Ez jó lesz remélem! Az első tetszett. :)
10151450219560163_25430409	love it!!! :-)
10151450219560163_25432046	Love
10151450219560163_25432591	MAi :3 jajaja
10151450219560163_25433054	Devin Spradlin -lol
10151450219560163_25433121	Cameron Jankowski :)
10151450219560163_25435036	So stoked.
10151450219560163_25435238	love minions
10151450219560163_25436524	Baldo Kfir Cruz >.<' ALA! jajajajajaja
10151450219560163_25436727	Funny movie jajajajajaja
10151450219560163_25436826	Johana Ramirez
10151450219560163_25436887	Jajaja
10151450219560163_25437106	Mykii Ponce <333
10151450219560163_25437349	I love love love them!!!!
10151450219560163_25437368	okok cx
10151450219560163_25440822	I love it!!!!!!
10151450219560163_25440912	Delfino Tinajero
10151450219560163_25441807	love it
10151450219560163_25446426	Jajajajaja si si :)
10151450219560163_25447533	bedobedobedo! lol
10151450219560163_25447542	Eric Yovani Bernal
10151450219560163_25449895	OLi Golebiewski
10151450219560163_25449967	Diana Zavala
10151450219560163_25450007	Steven Rodriguez awwwww tepete jajajajajajaja
10151450219560163_25453360	Love it
10151450219560163_25455380	jajajajajajaja me derrito como mantequilla!!!
10151450219560163_25458520	Jajjajajajajjaan
10151450219560163_25459481	Supra Sal
10151450219560163_25459828	jjaja
10151450219560163_25459898	jajajajajaja - lolololololololo
10151450219560163_25462968	Olinka Japiin D Core
10151450219560163_25463205	me like it
10151450219560163_25463549	i love it
10151450219560163_25466681	Nikki Grippo WE NEED TO SEE IT
10151450219560163_25467471	Krish Bhavnani 4 WEEKSSSSSS <3 ERMAHGERD
10151450219560163_25467686	,v
10151450219560163_25468288	Stephanie Zavaleta
10151450219560163_25469611	Carolina Ayala Trigo  los multi cuatrimelos :v :v :v :v  x  :v :v :v :v = muchos.
10151450219560163_25476073	I love it
10151450219560163_25487823	Julio 3!!! jajajajajajajajaja, tu eres la "sirena"  (viro viro viro viro viro) jajajajaja :D
10151450219560163_25518361	Olga Najera
10151450219560163_25519399	i love it
10151450219560163_25532193	Jajajajaja
10151450219560163_25544873	lovin it
10151450219560163_25547479	Jazmine (x
10151450219560163_25551566	i love it
10151450219560163_25554643	O loke ir
10151443067760163_25374078	Kobi Bova
10151443067760163_25374354	Ricko Cruz-Martinez
10151443067760163_25375166	Dimitri Pronko Leah Driver
10151443067760163_25375368	Ileana Pineda Love it jajaja
10151443067760163_25376651	jjjjjjjjjjjjjjj I love MINIONSSSSSSSSSSS
10151443067760163_25380414	:v
10151443067760163_25422392	Mihail e tva da igraem? :D
10151443067760163_25516354	I love it
10151428948757592_9976148	ob
10151443077910163_25363611	Love love love love Despicable Me
10151443077910163_25363679	Jenny Troncoso ve eso xfavor wjajajajajajajajaja
10151443077910163_25363689	Maritza Zaragoza
10151443077910163_25363761	love it..
10151443077910163_25363840	Sormeh Konjkav
10151443077910163_25363856	i love it <3 <3 !!!!!!
10151443077910163_25364866	love it.........
10151443077910163_25365248	jajajaja
10151443077910163_25365399	I love Gru!!
10151443077910163_25365845	Love #1
10151443077910163_25365896	My favorite kid movie!!!!!!!
10151443077910163_25366367	Emma Sloan
10151443077910163_25367172	Javier PabloYou have to take me babii!!!
10151443077910163_25367748	jhjhjghjjuytj y j536536
10151443077910163_25367905	Elijah Gonzalez
10151443077910163_25372576	love it
10151443077910163_25375394	love it
10151443077910163_25375601	Love Gru!
10151443077910163_25375883	love it
10151443077910163_25375978	I love it!!!
10151443077910163_25379629	jajaja
10151443077910163_25383523	jajajajajajaja <3
10151443077910163_25388920	Jajaja nada qe ver XD
10151443077910163_25390855	so stoked:)
10151443077910163_25417880	Marija Svilar
10151443077910163_25437686	love it
10151429000812592_9852554	I loved it
10151429000812592_9852662	love it!!
10151429000812592_9852703	Love it
10151429000812592_9853025	jajaja
10151429000812592_9853601	love him!!!
10151429000812592_9853666	loved it
10151429000812592_9854538	4jma0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            j
10151429000812592_9854539	j
10151429000812592_9854869	Love IT!
10151429000812592_9856934	love  ELLEN DEGENERES SHOW
10151429000812592_9864663	Ravnesh Prakash
10151429000812592_9960347	jajajajaja....
10151429000812592_10006499	Alejandro Molina Melendez jaja
10151428304222592_9848607	Bartosz Skora :)
10151428304222592_9848697	lo  maximo  jijjijiji
10151428304222592_9849007	love it <3
10151428304222592_9849053	Andriana Jankovic :D
10151428304222592_9849417	i love it
10151428304222592_9849538	Love it
10151428304222592_9850049	love it
10151428304222592_9850625	jednom dobar crtać .........obožavam je.
10151428304222592_9853027	Pop pop pop pop pop pop pop pop
10151428304222592_9853546	poo poo poo poo
10151428304222592_9854057	I love it :)) <3
10151428304222592_9854239	love it!!!
10151428304222592_9856514	tok tok tok tok tok
10151428304222592_9955501	Jajajajaja igualita Sofía Salazar
10151428304222592_10023573	:v
10151427306717592_9843589	..oh god
10151427306717592_9843643	love it
10151427306717592_9843710	Savannah Chavez
10151427306717592_9843902	Omg I love Steve! Hahaha
10151427306717592_9843975	,,,,,,,,i love u GRU
10151427306717592_9844072	oh god
10151427306717592_9844096	Oh mah lord no neck
10151427306717592_9844289	Kamil Drozdz
10151427306717592_9844637	jajajajajakaj
10151427306717592_9845220	Yes!!!! I love gru !!!!!!!!
10151427306717592_9845962	Gru!!! Love u man
10151427306717592_9846598	niice..
10151427306717592_9847490	Teď jsem to právě viděla ;D
10151427306717592_9850113	Good job grub u did great!!!
10151427306717592_9850177	Elnaz Nora Mari prototyp 1
10151427306717592_9984935	oh my god I just love it
10200472102578255_5421514	no falto por nada jajajajajaja
10200472102578255_5421580	Jajajajaja!!! bee do bee do bee do!!!,, love them cant wait!!
10200472102578255_5421696	Ali Ibrahem Suzi Apple :)
10200472102578255_5421821	i love it
10200472102578255_5422169	love it !
10200472102578255_5422189	in love !!!
10200472102578255_5422208	Jessica Zamrok
10200472102578255_5422337	Rija Imran <3
10200472102578255_5422516	I love it!!!!
10200472102578255_5422529	ne na ne na ne na
10200472102578255_5422680	I love to be
10200472102578255_5422753	I love Gru...
10200472102578255_5422787	Hugo Mota Jajajaja
10200472102578255_5422792	Donald Piedrasanta jajajajajajajajaja
10200472102578255_5422800	Jajajajajaja Silvia Maya tenemos que ir a verla bb
10200472102578255_5423297	save  me Gru!!!!!!
10200472102578255_5423822	i love Gru
10200472102578255_5423930	Alejandra Soto
10200472102578255_5425066	jajajaja...
10200472102578255_5425313	Lucija Ujević  ihihihihiihihihi  :))
10200472102578255_5425380	Petra Furač ja ne mogu dočekati!!!!!
10200472102578255_5425963	excited na ko.............. :)
10200472102578255_5426642	jobab paina keno?
10200472102578255_5428513	love it
10200472102578255_5431298	lovin it
10200472102578255_5432469	Love, Love, Love
10200472102578255_5436152	love it
10200472102578255_5438525	Laliko :D
10200472102578255_5457260	good move <3 <3 <3
10200472102578255_5457966	Mateo peedo peedo peedo jajajajajajajajaja
10200472102578255_5469261	Bedobedobedo :-)
10200472102578255_5489913	bedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedobedo
10200472102578255_5521885	bedobedobedobe
10151418432967592_9799988	Nice job :l :v
10151418432967592_9800231	J Rodolfo Ruiz
10151418432967592_9800241	Daniela Idraliz Jimenez
10151418432967592_9801240	Marshiitha Quiirvan jiji Fanny R. Jimenez
10151418432967592_9803466	gime froozen banana....NOW!
10151418432967592_9808453	jajajajajajaj ps oraaaa
10151417714262592_9796435	J Rodolfo Ruiz :D
10151417714262592_9796657	Carolina Saez-Jovane
10151417714262592_9797175	Jajajaja
10151417714262592_9909246	Alex Fernández traserom jajajaja
10151417714262592_9995361	Poka!
10151417011402592_9792596	evil gru-nievel!
10151417011402592_9793156	Bad just got good
10151417011402592_9794500	Minion ninja!!!!!!!
10151415722257592_9789485	Love it
10151415722257592_9789496	so cutee!!! >v<!!
10151415722257592_9789885	Love it love it love it.
10151415722257592_9789963	love it!
10151415572652592_9785801	I love it!
10151415572652592_9798453	Love it
10151414127777592_26143535	i got 15,000
10151414127777592_26207604	i love it
10151422651655163_25196331	jajajajajaja William 'Nano Figueroa
10151422651655163_25196475	Mike Moser
10151422651655163_25196619	i love it
10151422651655163_25196653	love it
10151422651655163_25196703	omg  jajajajaja
10151422651655163_25196876	Netza Ramos
10151422651655163_25196890	I love her like you gotta love Agnes
10151422651655163_25196909	Ivelisse Jimenez lol
10151422651655163_25197179	love it
10151422651655163_25197279	Love it
10151422651655163_25197290	Love it
10151422651655163_25197302	Denisse Alejandra Narro jajajajajaja :) me acorde de ti
10151422651655163_25197362	Your so fluuufy!!!!! jijiji love that girl
10151422651655163_25197379	jajajajajajajja cuack cuack! jajajajaj die
10151422651655163_25197535	I lov it!!!!!!! <3
10151422651655163_25197687	oh no lol
10151422651655163_25197866	Olivia Vranek Mia Hruska
10151422651655163_25197884	Stella Gomez ahhhhh Agostina Feijoo
10151422651655163_25197912	que es linda jijijiji
10151422651655163_25198032	Love it
10151422651655163_25198242	Anijah Blakemore lol
10151422651655163_25198284	love it;)
10151422651655163_25198295	Anijah Blakemore idc lil nigga
10151422651655163_25198322	Anijah Blakemore inbox or txt me nigga
10151422651655163_25198345	Bet Anijah Blakemore
10151422651655163_25198714	Jajaja
10151422651655163_25198864	jajaja
10151422651655163_25199276	Vea el nuevo.. jeje Romy...
10151422651655163_25199358	Steve Merlo 󾌴
10151422651655163_25199452	jajaja
10151422651655163_25199827	Bartosz Skora xD
10151422651655163_25201676	love it !
10151422651655163_25207532	jejejje que bien :)
10151422651655163_25209091	love
10151422651655163_25210274	I love it
10151422651655163_25210372	Nina Velona OMG YES>
10151422651655163_25210788	love it!
10151422651655163_25214641	love it
10151422651655163_25215335	love it!
10151422651655163_25216628	love it
10151422651655163_25220445	jeje
10151422651655163_25221291	Jazmin Rojo
10151422651655163_25222443	Love love love love love it!!!!!!!!!!!!!
10151422651655163_25232129	LmFao...we gotta see (; Raymond Gonzalez Erika Gonzalez
10151422651655163_25235352	love it
10151422651655163_25236196	I love it! :*
10151422651655163_25244015	Krish Bhavnani
10151422651655163_25244409	I love Gru..!!!
10151422651655163_25245682	jajaja
10151422651655163_25248301	Love!
10151422651655163_25253117	love
10151422651655163_25253235	i love it
10151422651655163_25254134	Jajajajajaja
10151422651655163_25260911	LOL... love it!
10151422651655163_25269455	I love it
