10151475870412592_10052349	Kaylee Cox
10151474083177592_10047040	wa wa B)
10151474083177592_10047111	it was sooooo good!!!
10151474083177592_10047208	Priyanka
10151474083177592_10047430	BEEE DO!!!!!
10151474083177592_10047470	wanna ride lol
10151474083177592_10047763	Friday!!!
10151474083177592_10047792	Bee do bee do bee do bee do
10151474083177592_10047813	U.U. SI QUE YA SALGA!!
10151474083177592_10047824	how come u guys r so qqqqqqqqqq!!!
10151474083177592_10048119	July 3 yayy!!
10151474083177592_10048122	sooo cute...
10151474083177592_10048280	Haha to
10151474083177592_10048307	Woo!
10151474083177592_10048605	im gonna see on my b-day JULY 3
10151474083177592_10049258	I want to see it soooooooo bad
10151474083177592_10049355	Bee do bee do bee do, lol.
10151474083177592_10050160	haha
10151474083177592_10050187	Babababababanana Julian Garcia jijiji xD
10151474083177592_10050212	i wanna c it so bad
10151474083177592_10050787	beedo beedo beedo
10151474083177592_10051020	hahaha bello!
10151474083177592_10051194	soo cute
10151474083177592_10051750	i caaaaaan t wait..
10151474083177592_10053234	Leeeeeee loooooo leeeee looooo Sara Rosales lol.
10151474083177592_10053345	My  2
10151474083177592_10053372	Aliyah
10151474083177592_10053431	Weooooo weoooo weooooo weoooooo
10151474083177592_10053765	bee do bee do bee do
10151474083177592_10054464	Haha
10151474083177592_10054923	han main b yehi sooch rha hn
10151474083177592_10055064	did you win?
10151474083177592_10055525	hehe, yam lo
10151474083177592_10056888	yaaayyyy,,,
10200651737429014_5567668	Mukami Wamalwa
10200651737429014_5567672	Hahaha!
10200651737429014_5567728	Nanaa Casas
10200651737429014_5567741	Aaaaaaaaa can't wait
10200651737429014_5567762	Bahahahahaha Hailey! Lol
10200651737429014_5567842	do you wanna go on ahh date? umm no hahaha xD
10200651737429014_5567874	<3 <3 <333 yay!
10200651737429014_5567882	day by day m going mad
10200651737429014_5567890	"uhhhh no." lol
10200651737429014_5567909	Oh my gosh XD
10200651737429014_5567910	ahhhaaaa!
10200651737429014_5567950	dobar
10200651737429014_5567956	No yeeeeyy haha
10200651737429014_5568013	hahahaha, ca't wait!
10200651737429014_5568020	"Uh..no." XD hahahaha
10200651737429014_5568048	hahahaha :D
10200651737429014_5568124	Gracie Chapman hahahahaha
10200651737429014_5568244	ah no
10200651737429014_5568280	wow lol
10200651737429014_5568404	Wooohoooo ya quiero verlaaaaaa :D
10200651737429014_5568513	I wanna see it
10200651737429014_5568543	Uhh... no.   Hahahahahhahahaha love it!
10200651737429014_5568558	ahahaha ahhh  i want to see it so bad now!!!!!!
10200651737429014_5568796	did he say good gurl?
10200651737429014_5568798	Hahahaha
10200651737429014_5568886	hahaha cant wait
10200651737429014_5568938	aaaah...no.
10200651737429014_5569004	hahahahaha ammm noooo no date hahahahaha
10200651737429014_5569091	Awww :D
10200651737429014_5569123	july 3 can we go
10200651737429014_5569186	hahha funny
10200651737429014_5569306	i want toooo soooooooo bad
10200651737429014_5569314	Yaaaay!
10200651737429014_5569348	haha
10200651737429014_5569463	No Yaaaaaaaaaaaay.
10200651737429014_5569592	BEE DO BEE DO!!!
10200651737429014_5569603	I wanna see It
10200651737429014_5569705	aaaaaahhhhhh no!!! too funny
10200651737429014_5569791	gur:no yeaaaaaaaaaaaaaaaaaaaaa xD lol
10200651737429014_5569877	me too!
10200651737429014_5570188	hhahahahahahhahahahahahahahahhaah :D
10200651737429014_5570234	XD
10200651737429014_5570343	Ayesha Sewalia <3
10200651737429014_5570550	Sooo cute 󾌪
10200651737429014_5570575	haha yaay no yaay there so cute
10200651737429014_5570578	YAYYY!!
10200651737429014_5570591	Aaahh... No
10200651737429014_5570613	"ahh... NO' lmaoo
10200651737429014_5570720	hahaha
10200651737429014_5570734	gru:would u like 2 go out a date?.minion:aaaaaa..no..:D :D :D :D...awsomee..:D:D
10200651737429014_5570803	no way
10200651737429014_5570992	Roxana Ruvalcaba Marsha Robinson
10200651737429014_5571029	Safaa Alnabelseya LOOOL
10200651737429014_5571111	Ahhahahahhahahahah
10200651737429014_5571152	cute, aaa can't wait
10200651737429014_5572744	xD
10200651737429014_5572788	Aaaaaaaaaaa quierooooo
10200651737429014_5573103	i wana see it!!
10200651737429014_5573344	XDDD
10200651737429014_5573669	"would you go on a date?"                            "uuuh no"
10151472024302592_26556755	Nancy Matais looooooook
10151472024302592_26556786	Muuuuuaahahahaha!  EXCITED!!!!!
10151472024302592_26557302	Wahahaha
10151472024302592_26557973	Bitaaaaaaaa mira ve!!!
10151472024302592_26558313	Gooooo chow
10151472024302592_26558328	I wanna go!!!!
10151472024302592_26559185	Shinel Sahadeo
10151472024302592_26559496	wowww hahaha
10151472024302592_26561036	Awww sooo cute
10151472024302592_26561885	YEAH!
10151472024302592_26562474	DuuSke Quemasda :3
10151472024302592_26563697	be bo be bo be bo.....
10151472024302592_26563807	Sharmaine Aina Madriaga!!!ahaha
10151472024302592_26564281	Yeah boogie!
10151472024302592_26564325	hooohaahooohaahooohaa
10151472024302592_26566324	Whaaat?
10151472024302592_26591176	yay
10151466363202592_10012666	Haha lol
10151466363202592_10012673	Sleep laaaa !!! Bee do Bee do
10151466363202592_10012724	Ayoosha Saleem
10151466363202592_10012767	Bottom! hahahaha!
10151466363202592_10013023	Carolyn Stahlman
10151466363202592_10013095	Jacob Vega x)
10151466363202592_10013265	Aww
10151466363202592_10013447	Soooooo cute
10151466363202592_10013614	haha they r so funny
10151466363202592_10014579	Yahoo!
10151466363202592_10014711	Hahaha <3
10151466363202592_10015110	Alex Hernandez bello booboo XD
10151466363202592_10015163	El Yellin hahaha
10151466363202592_10015636	poopaye hahhahahaha
10151466363202592_10015879	poopaye hahahha
10151466363202592_10015887	Bello to you too sir
10151466363202592_10015981	Aww! :)
10151466363202592_10016542	DISPECABLE ME!!!!!!!!
10151466363202592_10017317	Ana Grgurić, Katarina Guja, Josip Golubdaaaaaaaaa :P
10151466363202592_10018121	Danish Khan
10151466363202592_10019060	lmmmaaaaooooo !!!Darnhelle
10151466363202592_10019479	haha funny
10151466363202592_10020365	Sidney Kolb
10151466363202592_10023144	Madison
10151463422487592_10005685	Weeooo weeeoooo weeeoooo weeeeoooo weeeoooooo
10151463422487592_10005754	haha!!! bee doh, bee doh
10151463422487592_10005759	beedooo...
10151463422487592_10005772	Bee-do bee-do! I LOVE this!! Hahaha!
10151463422487592_10005795	Be doo bee doo bee do
10151463422487592_10005797	Bee do bee do Haha
10151463422487592_10005804	Samara Zatylny hahahahah
10151463422487592_10005853	Bedo beedo beedo!!!
10151463422487592_10005969	Haha
10151463422487592_10006036	Haha
10151463422487592_10006064	bee do, bee do, bee do.
10151463422487592_10006068	Weee oooo weeee ooooo weeeee ooooo
10151463422487592_10006077	bee do bee do bee do bee do bee do bee do! :D
10151463422487592_10006171	BEE DO , BEE ,DO
10151463422487592_10006333	Beedo beedo
10151463422487592_10006469	ya he does
10151463422487592_10006518	beedobeedobeedobeedobeedo
10151463422487592_10006595	bee do bee do bee do bee do bee do
10151463422487592_10006709	Bee do bee do is hilarious so funny hahaha !!!! x) ♥♥♥♥
10151463422487592_10006765	hahahaha!!!!love it!!!!
10151463422487592_10006873	Ahahaha
10151463422487592_10006889	beee dooo beee dooo beee dooo
10151463422487592_10006940	LUCY MINION!!!!!!!!!!!!
10151463422487592_10007048	bee do bee do bee do
10151463422487592_10007084	BEE DOO BEE DOO
10151463422487592_10007114	BEE DOO BEE DOO
10151463422487592_10007311	bee do. bee do.
10151463422487592_10007422	haha
10151463422487592_10007465	hahaa..love it..
10151463422487592_10007652	bee do bee do bee do bee do bee do bee do  hahahahahahahahaaahahahahahahaha
10151463422487592_10007744	bee do bee do bee do bee do bee do bee do bee do bee do bee do BANANAAA!!!!!!!
10151463422487592_10008055	Bee do bee do bee do bee do bee do bee do bah!
10151463422487592_10008217	Ooo Ooo aaa aaa OoO
10151463422487592_10008247	WwwwwHhhhhAaaaaTtttt
10151463422487592_10008386	bidobidobido
10151463422487592_10008422	Shayne Phee
10151463422487592_10008510	12 days!!!
10151463422487592_10008649	Bee doo bee doo bee doo bee doo bee doo
10151463422487592_10008674	Teddy CampbellBee doo bee doo bee doo bee doo bee doo
10151463422487592_10008895	good
10151463422487592_10008928	bee doo bee doo bee doo
10151463422487592_10008951	BEE DOOO BEE DOOO
10151463422487592_10009536	Arom Shahar
10151463422487592_10009673	Bee doo bee doo
10151463422487592_10009872	Bee do bee do bee do bee do bee do bee do bee do bee do bee do!
10151463422487592_10011819	ha ha :)
10151463422487592_10012241	Bee do bee do bee do bee do
10151463422487592_10013127	Bee do bee do funny
10151463422487592_10013430	Bedo Bedo BEDO!!! Bahahahaha!
10151463422487592_10015010	bee do bee do!
10151463422487592_10015226	bee do bee do bee do bee do
10151463422487592_10018599	BEE DO !!!
10151463422487592_10019238	beedo
10151463422487592_10019502	hahaha...! :D sooooper cute...! :)
10151463422487592_10023039	BEE DO BEE DO !!!!!!!!!!!!!!!!!!!!
10151463422487592_10026005	Awwww sooo cuteee
10151463422487592_10029473	Ha ha ha ha
10151463422487592_10033354	jace always goes bbbbbbbbbbbbeeeeeeeeeeeeeeeeeeeeddoooooooooooooooooo after the cumershu;
10151463422487592_10048123	WEDO WEDO WEDO
10151463422487592_10050396	BEE DO BEE DO GRU : -___-
10151463488692592_26496191	ha ha
10151463488692592_26496193	Niloofar, bahale ahangesh ^_^
10151463488692592_26496212	so cuuute
10151463488692592_26496286	Aarzoo Shaikh Neesha Krishnan Roshni Patel
10151463488692592_26496461	Good
10151463488692592_26496487	MY JAM
10151463488692592_26496522	i wish
10151463488692592_26496622	This made my day :3
10151463488692592_26496639	Tasneem Dadabhoy
10151463488692592_26497003	happy... hahahha  <3
10151463488692592_26497004	This soooo good!!
10151463488692592_26497005	;D xD
10151463488692592_26497129	.,bwa ha ha ha ha.,because i'm happy.,woohoohoo...
10151463488692592_26497216	cooooooooooool man lol
10151463488692592_26497424	awww made my day....
10151463488692592_26497785	You go baby!!!
10151463488692592_26497832	MORE MINIONS!!!
10151463488692592_26498022	nice and hahaha
10151463488692592_26498110	Happy Dance yaaaaaaa
10151463488692592_26498315	walao so funny.LOL
10151463488692592_26498428	Soooooo adorable!!!!
10151463488692592_26498461	ha lol
10151463488692592_26498468	lyrics are SUPER ANNOYING!!!! hahahah
10151463488692592_26498498	XP
10151463488692592_26498611	Waqqar Ul Hassan
10151463488692592_26499590	can't waiiit!!! ;D
10151463488692592_26499659	Zoé Haha ^-^ ❤
10151463488692592_26499846	aww
10151463488692592_26500265	Duaa DOdooooooooooo :P
10151463488692592_26500549	Ibaa Drwazeh bs ynzaaal bedna nro7 n7daroo
10151463488692592_26500757	so good tanx
10151463488692592_26500860	hoorhiin be
10151463488692592_26501051	Ahsan Irshad :D
10151463488692592_26501780	hhaaha
10151463488692592_26502987	MADE MY DAY!
10151463488692592_26503543	YAYYYYY!!!!
10151463488692592_26503720	Clay, maybe you're annoying....
10151463488692592_26503798	It made my day .....
10151463488692592_26503825	Can we say CHAIR DANCING???!!! I LOVE THIS SONG!!
10151463488692592_26503959	yawn lol X3
10151463488692592_26504025	gud to here every day hahahahahahahaha ^^
10151463488692592_26504780	Hannah sooo cute
10151463488692592_26505996	Andréanne Charbonneau BECAUSE IM HAPPYYYY iiiYYYYY!! ahahaahha xD
10151463488692592_26507421	im in a good mood now. :D
10151463488692592_26507772	made my day :)
10151463488692592_26508043	Paula Maxwell
10151463488692592_26508209	good song
10151463488692592_26508346	SOO AWESOME!!!
10151463488692592_26509310	oosome
10151463488692592_26510725	Haha
10151463488692592_26510991	lol made my day
10151463488692592_26513431	hahahhahahaahahahahahaha!!!!!!! i love it !!!!!!! :D im happy!!!!!!!!!!
10151463488692592_26514202	Calex
10151463488692592_26514683	Ayesha Ji :D
10151463488692592_26520550	haha there soooooooo cute lol
10151463488692592_26521101	hahaha there Sooooooooo cute LoL :)
10151463488692592_26522791	ha
10151463488692592_26523560	made my day!
10151463488692592_26532582	wbjj yhodjbyny
10151463488692592_26532583	tymjb yhjiyonh mnhbmhmyjti
10151463488692592_26532586	hiykh
10151463488692592_26553001	(^..^) <3 XP
10151463488692592_26555400	go go go
10151463242167592_9997691	Woo HOO
10151463242167592_9997697	AHHHHHHHHHH I can't wait haha
10151463242167592_9997717	Shayla Bogard !!!!!!!!! I can't wait !
10151463242167592_9997727	My birthday! :)
10151463242167592_9997760	YEAH!! :D
10151463242167592_9997794	me 2!  lol...sanxxoo
10151463242167592_9997809	m3a l BAC " Markhas "
10151463242167592_9997889	Audrey Alba-grajeda
10151463242167592_9997930	Woo hoooooo!!!
10151463242167592_9997955	Woo Hoo!
10151463242167592_9998047	DESPICABLE ME 2
10151463242167592_9998058	Woohoo!!!!
10151463242167592_9998103	YAY :D
10151463242167592_9998108	yeeee...:-D
10151463242167592_9998113	Jalil Mollabux :DD
10151463242167592_9998152	Yay!!!!!
10151463242167592_9998202	yaaaay
10151463242167592_9998208	caaaaannnnttt wait
10151463242167592_9998221	wooooooooooooohooooo my son I cant wait!
10151463242167592_9998456	yaaaa
10151463242167592_9998468	3/7 , bahhh , can't wait
10151463242167592_9998492	Whoo HOOO!!!
10151463242167592_9998544	YAY!
10151463242167592_9998643	yeeheaw
10151463242167592_9998648	i wish
10151463242167592_9998731	Soooo FLUUUUUUFFY!!!
10151463242167592_9998759	Yayyyyyy!!!!!!!
10151463242167592_9998795	Soon Soon....
10151463242167592_9999098	WHOO HOO
10151463242167592_9999113	wooohoooo can't wait :)
10151463242167592_9999184	Yay!!
10151463242167592_9999296	We can't waaaiiiittt.
10151463242167592_9999389	Benji Cragle woo hooo!!!!(:(:
10151463242167592_9999624	yey !
10151463242167592_9999643	i am sooooooooooooooooooooooo excited
10151463242167592_9999913	yay yay!!! >.<
10151463242167592_10000106	yay!
10151463242167592_10000390	Only 2 more weeks aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
10151463242167592_10001201	Yaay!
10151463242167592_10001360	o yay~
10151463242167592_10001385	yay ya ... cant wait to see it !
10151463242167592_10001837	Yayayayayayayayayayayayayayayayayayayayay :D
10151463242167592_10002332	cant wait sooooooooooooooo excited.
10151463242167592_10003498	yay cant wait
10151463242167592_10005257	Yaaaaa!!!   ;)
10151463242167592_10008490	yay
10151463242167592_10011741	aaaaaaaaaawe yeeeee
10151463043292592_9996637	(Y)
10151463043292592_9996807	Funny ahah
10151463043292592_9997381	boo
10151463043292592_9997948	hey i got one  (left) banana  (right) bananaaaaaaa
10151463043292592_10002095	hahaha
10151463043292592_10044612	hahahhahahahahaha funny
10151461896262592_9991227	Jamaella Sosa
10151461896262592_9991351	Sooooo fluffffyyyyy!!!!
10151461896262592_9991388	Aaqib Mujtaba wooooooww why did you cooopppypyyyyy
10151461896262592_9991423	GAH!!!!! YES!!!!
10151461896262592_9991448	So FLUFFY!!!!
10151461896262592_9991744	Oh yeah
10151461896262592_9991838	Haha
10151461896262592_9992084	Megan Easley Burkhart
10151461896262592_9992089	whaaaaaaaat..lol
10151461896262592_9992109	the yellow one! ahhahahaah
10151461896262592_9992884	Sooo cool
10151461896262592_9992909	MINON!
10151461896262592_9993156	phai ko e Khanh Do, la wa
10151461896262592_9993336	Yellow guys
10151461896262592_9994092	Kathe Canlas I would love these! Hahahahahahaha! I know you would, too! Hahahaha!
10151461896262592_9994605	Sara Lee too cuteeeeee
10151461896262592_9995317	MINIONS!!!!! So CUTE!!!!!
10151461896262592_9995385	ntsooooooooooo
10151461896262592_9996183	hahahahahahaha
10151461896262592_9996382	YOU ARE DDS.
10151461896262592_9996693	omfg Mara McGlashan!!!!!!!!!!!!!!
10151461896262592_9998940	FLUFFY UNICORN!!! XD
10151461896262592_9999832	Ooooooooooo looks so yummy
10151461896262592_10033178	ufff ufff itsss dhoooo cuteee.....muhaaaahhh
10151461896262592_10047172	soooo cute!!!! <3
10151461642247592_9990367	(Y)
10151461642247592_9990514	'Babydaddy Memo
10151461642247592_9991843	weeee!!!!! lol
10151461642247592_9993155	Today
10151461642247592_9993719	aaaaaaaakh joooooooooooooooooooon. ashegheshoooon bodam
10151461642247592_9998303	Again! Haha yay :D
10151461642247592_10002903	hahahahahahaha funny
10151461642247592_10005102	Kyla Shaye
10151461642247592_10008231	Hahaha
10151461642247592_10054973	whhhaaaaat!
10151460189872592_26472071	Maryam Khorshidi
10151460189872592_26473787	good ad (y)
10151460189872592_26474270	Colin :D boogey, boogey boogey!
10151460189872592_26518623	haha
10200590565219747_5530491	wanna see it
10200590565219747_5530567	YAY!
10200590565219747_5530606	Bottom. ahahahha
10200590565219747_5530634	yeeee!!!!
10200590565219747_5530645	MINIONS!!! haha! so funny.
10200590565219747_5530650	I wanna watch it soooo bad
10200590565219747_5530662	yayyy!!!!
10200590565219747_5530677	soon!!!
10200590565219747_5530777	ugh looks so good
10200590565219747_5530795	caaaaaaaaaaaaaan't waaaaaaaaaaaaiiiiiiiiiiiittttttttt ^_^
10200590565219747_5530825	Wooooo hooooo! :D
10200590565219747_5530858	aaaaaaahhhh!!!!!!! so badly waiting......  <3 <3
10200590565219747_5530913	Soooo exciteeddd
10200590565219747_5530975	Muhammad Zahid Qureshi
10200590565219747_5531024	whooooooooooo!!!!!!!!
10200590565219747_5531031	hahahahaha bottom
10200590565219747_5531042	ooooooo/!!!! can not WAIT!
10200590565219747_5531211	Keysha Figueroa
10200590565219747_5531237	bottom hahaha
10200590565219747_5531262	can hardly wait....bedoobedoobedoobedoo
10200590565219747_5531281	2:52 Bi do Bi do Bi do Bi do Bi do  hahahahaha
10200590565219747_5531349	Bottom HAhahahahahah : )
10200590565219747_5531388	bee doo bee doo bee dooo beee dooo beee dooo bee doooo
10200590565219747_5531398	i cant wait look so good
10200590565219747_5531407	bee doo bee doo bee doo bee doo bee doo
10200590565219747_5531462	bottom ahahahahaaha
10200590565219747_5531520	wanna go see it!
10200590565219747_5531571	yayyay looks like its gonna be good
10200590565219747_5531598	haha
10200590565219747_5531616	haha
10200590565219747_5531640	Bottom! hahahhahahhahah! xD
10200590565219747_5531652	que kuka
10200590565219747_5531722	bottom nyahahahahahaaha
10200590565219747_5531775	oooo LOVR!!!
10200590565219747_5531779	hahaha!!!....can't wait!!
10200590565219747_5531799	beedo beedo beedo! LOL
10200590565219747_5531847	yay soo happy
10200590565219747_5531884	Bee do bee do bee do...lol
10200590565219747_5531899	bee do bee do bee do!!! :D
10200590565219747_5532067	Good cartoon
10200590565219747_5532218	khyli ino dost dashtaaaaaaaam ali bod
10200590565219747_5532364	hahaha bottom
10200590565219747_5532519	hahaha this looks awesome!!! :D
10200590565219747_5532550	(Y)
10200590565219747_5532588	Yay!!! can't wait
10200590565219747_5532686	XD
10200590565219747_5532701	?????????????   Siliz Lanbottom! LOL! hahahahahahahahahahahahahah!
10200590565219747_5532727	beedobeedobeedobeedobeedo
10200590565219747_5532840	BEE DO BEE DO BEE DO!
10200590565219747_5532843	Soon :)
10200590565219747_5532914	bee do bee do bee do bee do
10200590565219747_5533113	omg haha looks so good...
10200590565219747_5533146	bottom hahahaha
10200590565219747_5533147	bottom bottom bohahahahaha
10200590565219747_5533152	meeeedoooo beedoo
10200590565219747_5533177	hehe bottom.. ahahahahaha :3
10200590565219747_5533279	Hamza TariqMuhammad Usman Tariq ;D
10200590565219747_5533518	Yay!
10200590565219747_5533534	Bottom! whahahah
10200590565219747_5533965	Hahaha so funny!
10200590565219747_5533973	Caaaaan't Wait.......:P
10200590565219747_5534075	haha so funny
10200590565219747_5534460	Hannah Quigley
10200590565219747_5534482	I wanna see it sooooooo bad!!! :) I cant wait!!!
10200590565219747_5534749	Waaaaah!! Can't wait :3
10200590565219747_5534785	i cant waiiiit
10200590565219747_5534817	Thanks Syed Fahad Ali
10200590565219747_5534838	waaa, x sbr... tng0k mcm best...
10200590565219747_5534840	bottom... nyahahahaha!... so juvenile yet so funny... XD
10200590565219747_5534875	mwuah..ha..haaaaaaaa
10200590565219747_5534980	vvvvvvvvvvaaaaaaaaaaaaaaaaauuuuuuuuuuuuuu
10200590565219747_5535257	I Caaaaaaaaaaaaan't wait!!!!
10200590565219747_5535339	SO GOOD!
10200590565219747_5535536	Bottom.... hahahahahaha!!! LOL
10200590565219747_5536078	beebo beedo beedo
10200590565219747_5536103	haha
10200590565219747_5536106	"BEE DOO"
10200590565219747_5536178	Alexis Walker
10200590565219747_5537721	XD
10200590565219747_5538077	haha
10200590565219747_5538362	hahaha dave!!! Ryan Schindo
10200590565219747_5539454	hahahahah faiy
10200590565219747_5541865	beedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedo
10200590565219747_5546490	wao
10200590565219747_5546700	Waltz Cervantes look !! ahahaha
10200590565219747_5547012	On my birthday!!!!! :)
10200590565219747_5547176	beedo! beedo!
10200590565219747_5549065	AGNES soooo CUTE
10200590565219747_5553001	haha buttuom
10200590565219747_5553463	XD
10200590565219747_5567836	Be-do be-do! Hahaha ❤
10200590565219747_5568093	Hahahha Bottom!!!
10200590565219747_5573469	aaww cant w8,.!!
10200590565219747_5574465	Fasho !
10200590565219747_5576726	yeee 
10151453631942592_9970807	XD ahahahahahahahaha
10151453631942592_9970820	Lala Boo
10151453631942592_9970843	Honey boo boo?
10151453631942592_9970847	Gruuu~ X)
10151453631942592_9970863	(Y)
10151453631942592_9970866	gru ko kya ho gya. .. lollzz :-D
10151453631942592_9970871	haha how beautiful xD
10151453631942592_9970878	Err.. Gru = Cute! hahaha
10151453631942592_9970892	Hahah...heroic
10151453631942592_9970944	Awwww <3
10151453631942592_9970960	What a good "Dad"   :-D
10151453631942592_9970968	Haha! Lol. xD
10151453631942592_9970982	Awesome dad!!!
10151453631942592_9971014	hahahaha.... :P :P Caitlyn LaJoie!!
10151453631942592_9971069	hahahaha (y)
10151453631942592_9971083	hahahaha Allysa Sheenia R. Magsino
10151453631942592_9971128	Haaaaaaaaaaaaaaaaaah. I. Love. It.
10151453631942592_9971130	I wanna see it cuando salga !!!
10151453631942592_9971154	Heh lol haha
10151453631942592_9971162	hahaha chaka
10151453631942592_9971207	Gru became a fairy.hahahaha!
10151453631942592_9971266	Haha!!! 󾍔󾍖󾍕
10151453631942592_9971371	waaaaaah!!!!!! gru! gru!! :D ahahaha
10151453631942592_9971532	hahaahah so cute
10151453631942592_9971576	hahahaha..
10151453631942592_9971648	Hahahahahahahah a
10151453631942592_9971660	Hahaha...lolx
10151453631942592_9971699	Jahahahahahahaha xD
10151453631942592_9971763	Ha ha ha  :-)
10151453631942592_9971798	xD lmaoo
10151453631942592_9971826	Awwh... hes a good daddy :)
10151453631942592_9971829	Super cute!hahhaahhahaahah...im so excited!
10151453631942592_9971960	Bah hahahahahaha
10151453631942592_9972037	eh... sau aah, haadha vath thareyyy.......
10151453631942592_9972152	Hahaha!!! Very funny!!!!
10151453631942592_9972182	XD Mimi
10151453631942592_9972183	Hahaha
10151453631942592_9972196	xaxaxxa Shahana, otkuda ti uznala?)
10151453631942592_9972365	Yanii Miikuru Asahiina
10151453631942592_9972985	Ayesha Amin
10151453631942592_9973118	A girlboy- girloy... !!!!!!!!!! Hahahahahhaha!!!!!!
10151453631942592_9973138	Ahaha awe<3
10151453631942592_9973204	You look so good lAhahahhah lol
10151453631942592_9973249	ha ha  funny
10151453631942592_9973387	OMG!! I LOVE THIS!!! Hahaha!! <3
10151453631942592_9973530	awww.. <3
10151453631942592_9973829	Haha yea!!!
10151453631942592_9973914	Hahahahahaha... !
10151453631942592_9973932	Hahaha
10151453631942592_9973952	haha
10151453631942592_9974809	i am so gonna do this to my dad!
10151453631942592_9975240	xD sexy !!
10151453631942592_9975636	Stfuuuu !
10151453631942592_9975639	Are you mad ? CTFUU
10151453631942592_9976173	Honey boo boo lol
10151453631942592_9976555	oh. my. gosh. sooooooooooo funny!!!!
