419551477591_2817337	"ITS SO FLUFFY! :D"
125379754172071_703808	DADDYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
122085471170226_602889	We LOVED IT!
142312399112617_1090872	WHAT FUCK
131308593573389_882735	MINIONS!
131308593573389_882819	seeing it in 30 minutes :D
131308593573389_882966	FANTASTIC & HILARIOUS MOVIE!  
141487362533976_1074173	hehe
141487362533976_1075016	THIS MOVIE ROCKED!!!! ITS HILARIOUS!!!!!
127850713923060_780212	Midnight Premier!!!Yeahhh Boiii :)
411696482591_2689189	weird
411696482591_2689197	Russell Brand ROCKS!!!!
411696482591_2689203	Lucky
411696482591_2689513	To dern' FUNNY!
411696482591_2694092	HAHA LOL HILARIOUS AND GO RUSSEL
411696482591_2714992	HAHA LOL HILARIOUS 
411696222591_2691214	FUNNY
411696222591_4400840	FUNNY
141524869197121_1071465	PENIS.
138589929500399_1001420	i am hehe
138589929500399_1001436	its so fluffy im gonna die!!!!
124941914215106_685702	:D
849804892055_2004641	MICHEAL SCOTT!!!! :D
136388736389195_992529	:D
849101327005_1992702	KNOCKED OOOOOOOOOVER!
849101327005_1999045	LMFAO!!!!!!!!! MR RIBS HURT SO MUCH
849101327005_2033950	HE'S SO FLUFFFY!!!!!!
849101327005_2126511	VERY FLUFFAY! :D
849101327005_2174086	8D
849101327005_2422938	KNOCKED OVER!!!
849101327005_9248873	ITS FLUFLY
849101327005_14394058	KNOCKED OOVEEEEEERRR!!!!!!
849101327005_14397890	GOOD GOOD GOOD JOB GRU
136219309730742_982594	GET OFF MA PAGE STRANGERS
123132391062650_640105	GRUUU!!
125904197450767_731538	Jason Segel is amazing <3
408435600162_13166741	FUNNY
139535782728256_1004952	IT"S SO FLUFFY!!!! :D
407215145162_13144887	DOES THIS COUNT AS ANNOYING?
406762075162_13138842	ITS SO FLUFFY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!HILARIOUS
406762075162_13143306	HE'S SO FLUFFY I'M GONNA DIE!!!!!!!!!
406762075162_13161254	IT'S SO FLUFFY!!!!!! LOLOLOLOLOLOLZ! ROTFL
406762075162_13167633	OMG HE PUNCHED MY SHARK!!!
406762075162_14289888	OMG HE PUNCHED MY SHARK!!!
118149141563042_633704	he so fluffy im gonnga die 
406457585162_13129261	ITS SO FLUFFFY!!!!!!! :) LOLOLOL
406457585162_13131392	FLUFFY PLUSHY IS FLUFFY!!!!!
406457585162_13141843	HE'S SO FLUFFY! LOL
406457585162_13153447	ITS SO FLUFFY LOLZ
406457585162_13167545	HE'S SO FLUFFY!!!!!!  
406457585162_13223208	itz so fluffy hehe
406457585162_24115439	ITS SO FLUFFY :D
405072325162_18078398	freeze Rayfreeze Ray
127640443936856_743523	Me 2 Me 2!!!!!
130199773664711_901234	FUN, FUN, FUN!!!!!
132733743406062_806275	I'm not seeing it either....
397760210162_12963529	... wut..?
397528475162_12963447	2:11 KNOCKED OVER! Lol
381855535162_12656626	ROCKS!!!!
381855535162_12979624	SO FUNNY
188382577591_13012257	KNOCKED OVAR!
329829905162_16752370	WOW
234890667591_6726446	FUNNY
221686580162_20637816	OMG???UMMM...
137802056496_5978579	Winner :)
