419551477591_2817332	this is literature?
419551477591_2817482	It's so FLUFFY!!!
419551477591_2817483	"Does this count as annoying?" 
419551477591_2817486	IT'S SO FLUFFY I COULD DIE! lol I really liked everything she said tho,she's the cutest!!
419551477591_2817487	ITS SO FLUFFY!!!!!
419551477591_2817488	This is garbage you kids actually like this stuff?
419551477591_2817489	"He's nice, but scary. Like Santa!"
419551477591_2817492	All of them! That movie is soo cute!!
419551477591_2817494	"It's so fluffy!!!!!!!!!!!"  *shakes stuffed unicorn*
419551477591_2817495	it's so FLUFFY....
419551477591_2817497	It's so fluffy!!!!
419551477591_2817498	It's so fluffy!!!!
419551477591_2817499	Does this count as annoying?*SOUND*LOL.
419551477591_2817502	When they give him the piggy bank and everyone starts pitching in to save the plans.
419551477591_2817504	 91% percent of people has seen this man in their dreams! OMG click here to see it: http://www.facebook.com/pages/Have-You-Seen-Him/142333752458601?v=app_4949752878  
419551477591_2817505	its a tine tiny toilet 4 a ahhhhhhhh lol
419551477591_2817506	ITS SO FLUFFY!!!!!!!!!!!!!!!!
419551477591_2817510	"does this count as annoying?"
419551477591_2817511	The one where she hides all her sister socks. It was so funny when they kept finding them in random places throughout the movie.
419551477591_2817512	Gotta be "It's So Fluffy"
419551477591_2817513	its sooo fluffy!!!
419551477591_2817514	ITS SO FLUFFY IM GONNA DIE!! ITS SOO FLUFFFYYYYY
419551477591_2817515	"does this count as a noise" -nom nom nom nom nom- haha i love love love agnes!! she's adorable!! she reminds me of boo from monsters inc but better;]
419551477591_2817516	That one.
419551477591_2817517	its so fluffy!!!
419551477591_2817518	oh no, my catterpillar never turned into a butterfly, thats a cheetoh. Oh.. (chomp)
419551477591_2817520	IT' SO FLUFFFFY !!!
419551477591_2817521	My 2 1/2 year old nephew loves the Its so fluffy!!!! He says it every time he sees the trailer!! So Cute!! 
419551477591_2817524	"It's so fluffy!!!" 
419551477591_2817525	"It's beautifullll." 
419551477591_2817526	Its sooo fluffyyy!!!
419551477591_2817529	"ITS SOO FLUFFY"
419551477591_2817532	"It;s so fluffyyyyyyyy Im gonna die".. too cute
419551477591_2817533	ITS SO FLUFFY!!!!!!
419551477591_2817534	ITS SO FLUFFY!
419551477591_2817536	the lil dude licking water o9ut of the machine... :) makes me giggle everytime
419551477591_2817538	 does this count as annoying ? haha 
419551477591_2817539	"Its so FLUH-FYYY!!!!!"
419551477591_2817540	its so fluffy!! and the roller cpaster part!
419551477591_2817541	It's so fluffy I'm gonna die!!! Love her, she's so cute!! 
419551477591_2817542	i think its unanomous that everyones favorite scene is "ITS SO FLUFFY!!!" lol
419551477591_2817543	"Its so fluffy that if i dont get it im guna diiieee." and "Its so FLUFFY!"
419551477591_2817544	does this cout as annoying
419551477591_2817545	IT'S SO FLUUUFFFYYY !!!
419551477591_2817546	ITS SOOO FLUFYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY!!<3<3<3
419551477591_2817547	its so FLUFFY!!!
419551477591_2817548	ITSSS SOOOOOOO FLUUUFFFYYYY!!!!!!!!!!
419551477591_2817549	is this sound annoying  "popopo"
419551477591_2817550	"its so fluffy!!!"
419551477591_2817551	ITS SO FLUFFY!!!!
419551477591_2817552	"its so FLUFFAY!!!" LOL
419551477591_2817554	Its so fluffly
419551477591_2817555	"IT'S SO FLUFFY!"
419551477591_2817556	does this count as anoying...(when she pops her cheeks)
419551477591_2817557	ITS SOOOOOOOOOOOOOOOOOOOOOOOOO FLUFFY!!!!!
419551477591_2817559	It's so fluffffffyyyyyy!
419551477591_2817560	"the unicorn song" furrsurre
419551477591_2817561	the praying scene and the mommy and daddy will have a unicorn i can pet and then she sings a song about petting unicorns XD
419551477591_2817562	"Did you brush your teeth?? Let me smell, ah! You did NOT!!"
419551477591_2817563	Its so fluffy!!!!
419551477591_2817565	Lame question 99% will answer the same way... LOL
419551477591_2817566	Love that movie.  I agree with everybody "It's soooo fluffy"...
419551477591_2817569	its so fluffy
419551477591_2817570	IT'S SO FLUFFFAYYYYYY :Dor the part where the minion hands her the toilet brush as a unicorn.
419551477591_2817571	ITS SO FUZZZZYYYY
419551477591_2817574	"does this count as annoying?"
419551477591_2817575	"It's so fluffy i'm going to die" that was so cute
419551477591_2817576	"does this count as annoying?"  
419551477591_2817577	ITS SO FLUFFY IM GONNA DIE!!!!!!!!!!!!!!!!!!!!!!!!!
419551477591_2817578	does this sound count as annoying??
419551477591_2817579	IT'S SO FLUFFY!!!!!!!!!!!!
419551477591_2817580	every part of the movie
419551477591_2817582	It's SO FLUFFY!!!!!!!
419551477591_2817583	When the miniuns dress up LMAO
419551477591_2817584	Its soooo fluffyyyy!!!! :)
419551477591_2817586	i like the  one where she wins the unicorn!
419551477591_2817587	It's so Fluffy!
419551477591_2817589	haha the part where she's all "awh my caterpillar didn't turn into a butterfly." "Agnes, that's a cheeto." haha nd then she eats it xD
419551477591_2817590	gotta be 'it's so fluffy!"
419551477591_2817591	It's So FlUfFy ................. I cOuLd DiE
419551477591_2817592	It's so fluffy!!!
419551477591_2817593	it's so fluffy!!!!!!!!!!!!!!i love it!!!
419551477591_2817594	IT'S SO FLUFFAYY
419551477591_2817595	IT'S SO FLUFFY I COULD DIE!!!!! my boyfriend ordered me the exact unicorn from the movie. =] 
419551477591_2817596	ITS SO FLUFFYY!!!
419551477591_2817598	its so fluffy
419551477591_2817599	Are these enjoying sounds?  :):)):):)
419551477591_2817600	"IT SO FLUFFY IM GONNA DIEE" "Does this count as annoying? -clicky sound-" I LUV YA AGNES
419551477591_2817601	"ITS SO FLUFFLY"!!!!!!
419551477591_2817602	Does this count as annoying? Seems to be the consensus.
419551477591_2817603	its so fluffy!!! and the part when she was on the bed and she was talking to the unicorn
419551477591_2817604	its so fluffy
419551477591_2817605	Its so FLUFFY.........................................
419551477591_2817606	"Oh no, my caterpillar never grew into a butterfly!"
419551477591_2817607	Loved when they re-did the ballet performance at end for dad! I cried! 
419551477591_2817608	IT'S SO FLUFFY ...........I LOVE IT
419551477591_2817609	ITS SO FLUFFY!
419551477591_2817611	All of them.!
419551477591_2817612	It's soo fluffy!!!! I'm gonna die!!!!!
419551477591_2817613	The one where she claps her checks and asks "Is this an annoying sound?" Loved the movie!
419551477591_2817614	minions dressed as a family shopping at the toy store
419551477591_2817615	it sooo fluffy
419551477591_2817617	it so FLUFFYYYYYYY
419551477591_2817619	Unicorn song!!
419551477591_2817620	its so fluffy
419551477591_2817621	funny ass movie
419551477591_2817622	"IT'S SOOOO FLUUFFFYYY!!!!""DOES THIS COUNT AS ANNOYING???"
419551477591_2817623	I like all of them too!! this was a really awesome movie..
419551477591_2817624	Its so fluffy!!
419551477591_2817625	When she kissed the minion after he gave her the toilet bowl brush unicorn.
419551477591_2817627	It's so fluffy!!
419551477591_2817628	Edith: Mr. Gru is nice. Margo: But scary. Agnes: Yeah. Like Santa. 
419551477591_2817629	IT'S SO FLUFFY!!!!
419551477591_2817630	"grrr is soooo Fluffy im gonna die!!!!!!!!!!" love it.. 
419551477591_2817631	ITS SOO FLUFFYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
419551477591_2817632	ITS SO FLUFFY IM GONNA DIEEEEEE.!!!!!!
419551477591_2817633	its so fluffy  im gunna dye!!!
419551477591_2817634	its so fluffy!
419551477591_2817635	"IT'S SO FLUFFYYYYYYY!!!!!!!!!!!!!!!!!!!"
419551477591_2817636	"IT'S SO FLUFFY!!!!!!!!!!!!!!!!!!!!!"
419551477591_2817637	Its so Fluffyyyyyyyyyyyyyy!!!!!!!!!!!!!!!!!!!
419551477591_2817639	Its so fluffffffyyy!!
419551477591_2817641	It's soooo fluffffy!
419551477591_2817643	ITS SO FLUFFYYYYY!!!!
419551477591_2817644	There were a few scenes with her but the best was  "IT'S SO FLUFFY I'M GONNA DIE!!!!!"
419551477591_2817647	ITS SO FLUFFY
419551477591_2817649	I like him he's nice.And scary.Like Santa!
419551477591_2817650	"Its So Fluffeh!"
419551477591_2817651	its so fluuuuffffyyy, and the annoying sound!!
419551477591_2817653	IT SO FLUFFY ..IM GONA DIE! and Cheeto butterfly
419551477591_2817654	ITS SO FLUFFY I AM GOING TO DIE! And the praying part where she prays to have a good mommy and Daddy and that they have a unicorn...
419551477591_2817655	it's so FLUFFFFFFFFFFFFFFFFYYYYYYYYY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! and does this count as annoying? (click pats cheek etc) and of course, make them drink the milk!
419551477591_2817657	When she gets obsessed with the stuffed animals flufiness at the carnival
419551477591_2817659	IT'S SO FLUFFY I'M GONNA DIE!!!!!!!!!
419551477591_2817660	IT SO FLUFFY!!!
419551477591_2817661	does this count as annoying??-- best agnes moment EVA
419551477591_2817662	Gru on the toilett:)
419551477591_2817663	when she sings the unicorn song 
419551477591_2817666	IT's SO FLUFFFYYYY!!!!!
419551477591_2817667	When she said the unicorn was fuzzy
419551477591_2817668	"Why are you wearing pajamas??"   "Excuse me!? They are NOT pajamas!!"
419551477591_2817669	I love the it's so fluffy ... Mi nmu friend do that every time we see eachother n wen we see a fat kid
419551477591_2817670	its so fluffiy
419551477591_2817671	It's so flluffy I'm gonna DIE!
419551477591_2817672	ITS SO FLUFFFFYYY!!!!!!!
419551477591_2817673	that is so cute
419551477591_2817675	ITS SO FLUFFY! 
419551477591_2817677	its soo fluffy!
419551477591_2817678	"Awww my caterpillar didn't turn into a butterfly"
419551477591_2817680	IT'S SO FLUFFY!! (someone punch me O_o)
419551477591_2817681	ITS SO FLUFFY!!
419551477591_2817682	They're all good
419551477591_2817683	all the funny ones :D they r sooooo cute 
419551477591_2817684	 it's so fluffy!
419551477591_2817685	IT'S SOOO FLUFFY!!!!
419551477591_2817686	ITS SOO FLUFFY!!!!! LUV IT!!!
419551477591_2817687	does this count as annoying?
419551477591_2817688	ITS SOOOO FLUFFY :D that was just awesome
419551477591_2817690	OMG SHES SO CUTEE IN THIS PIC!!!!!!!!!!!!!!!
419551477591_2817691	It's sooooo fluffy!!!!!
419551477591_2817693	"aw my caterpiller never turned into a butterfly""uhhh, thats a cheetoh""oh *CRUNTCH!!!!!!!!!!!!!!"*
419551477591_2817694	"awww my catapillar didnt turn into a butterfly!" "thats an old cheeto" "oh!" (munch)
419551477591_2817695	Its so fluffy
419551477591_2817696	Several!!! I need to see it again. sooooooo cute!!!
419551477591_2817698	IT'S SO FLUFFY I'M GUNNA DIE!
419551477591_2817699	its sooo fluffy im going to die!; does this count as annoying
419551477591_2817700	Its sooo fluffy I'm gonna die!**2 minutes later**IT'S SOOOOOOOOOOOOOOOOOOOOO FLUFFY!!!
419551477591_2817702	"Does this count as annoying" ... "It's so fluffy i'm going to die" LOVE HER!!!
419551477591_2817703	when she asks if the noise she makes with her cheeks.. is annoying...
419551477591_2817704	Its so FLUFFY!!!!!!!!!! <3
419551477591_2817705	It's So Fluffy
419551477591_2817706	it's so fluffy!
419551477591_2817707	it's so fluffy is mine
419551477591_2817708	its so fluffy
419551477591_2817709	It's so fluffy  I'm going to die!!!!!!!!!!!!!
419551477591_2817714	idk what that is somebody plaese tell me
419551477591_2817715	"Does this count as annoying?""It's so fluffy I'm gonna die!""It's so fluffy!""Now make them drink the milk..."
419551477591_2817716	ITS SO FLUFFY IM GONNA DIE..... ITS SO FLUFFY!!!!!!!!!!!!!!!!!!!!!!!!
419551477591_2817718	does this count as annoying and its so fluffy im gonna  die its so fluffffaaaayyy
419551477591_2817719	ITS SO FLUFFYYYYY!!!!!
419551477591_2817720	"ITS SO FLUFFY!"
419551477591_2817721	IT'S SO FLUFFY 
419551477591_2817722	It's so fluffy!
419551477591_2817724	"It's so fluffy I'm gonna die!"
419551477591_2817725	I think mine is either "ITS SO FLUFFY IM GONNA DIE !" or "ITS SO FLUFFY !" or "does this count as annoying......."
419551477591_2817726	unicorn song!!
419551477591_2817728	"Its soo fluffy I'm gonna die.....ITS SOOO FLUFFAAYYY!!!!!!"
419551477591_2817729	Anything BUT the "IT'S SO FLUFFY!" line.
419551477591_2817730	It's so fluffy I'm gonna die!
419551477591_2817731	ITS SO FLUFFY!!!!!!
419551477591_2817733	IT'S SO FLUFFY!!!
419551477591_2817734	its so fluffy
419551477591_2817736	IT'S SO FLUFFFYY!  Or when she's singing the unicorn song in bed.  Or when she says that she wants her parents to have a house made out of gummy bears.  Lol.  She just cracks me up in general.
419551477591_2817738	"It's so fluffy!!"
419551477591_2817740	"It's so FLUFFY!!" Loved the whole movie!!!
419551477591_2817741	Wait.. this is my favorite part!I'TS SO FLUFFY IM GONNA DIE!
419551477591_2817742	Awww my caterpillar didn't turn into a butterfly =/... it's a cheese puff.... Ohh *munch*
419551477591_2817743	IT SO FLUFFY I'M GONNA DIE!!!!!!!!!!!!!!!!!!!!
419551477591_2817744	Why pick one scene?
419551477591_2817745	it's so fluffy i could d i e!
419551477591_2817746	my favorite is when she asks is this annoying and starts patting her face and making the noise with her mouth!
419551477591_2817747	its so fluffy i my die
419551477591_2817748	"What is this? This is GARBAGE!!! LOVE IT! Of course I also love "It's so fluffy I'm gonna DIE!!" and I love it when Agnes is singing about loving unicorns...SO CUTE!!!
419551477591_2817749	when she ask if the noise she makes is bothersome!!!I LOVE IT verry funny LOL
419551477591_2817750	"It's so FLUFFLY, I'm gonna DIE!"
419551477591_2817752	At the carnival. Where she see's the unicorn and says " It's so fluffy I could die".
419551477591_2817753	IT SO FLUFFYY!!! >W< cracked me up... XP
419551477591_2817754	I don't think he's a dentist.
419551477591_2817755	I love them all!!!! =D she is adorable!!!!
419551477591_2817756	" IT'S SO FLUFFY!!!!!"
419551477591_2817757	It's so FLUFFY!
419551477591_2817758	Does this count annoying... to to to to to to...
419551477591_2817761	ITS SO FLUFFY IM GONNA DIE!! And Does The Count As Annoying -clicking sound with cheeks-
419551477591_2817762	the Unicorn song is adorable but I have to say the best is a tie between "its so fluffy" and "is this annoying"
419551477591_2817763	when he sticks his nose into the book.
419551477591_2817764	"That was fun...let's go destroy another game.
419551477591_2817765	"is this annoying" *slaps face and clicks tongue* she is so freaking cute
419551477591_2817766	Its so fluffy I could die!!N when she holds her breath
419551477591_2817767	i love this movie its so fluffly!!!haha
419551477591_2817768	its soo fluffy
419551477591_2817769	It's sooo FLUFFY!!!
419551477591_2817770	"It's so fluffy I'm going to die!!" I say it all the time. 
419551477591_2817772	the fluffy scene..."fluffy sooo fluffy" loved it
419551477591_2817773	when theyre in their room n agnus is talking to her unicorn
419551477591_2817774	IT'S SO FLUFFY 
419551477591_2817775	wow. 23 it's so fluffy's. lets add on. ITS SO FLUFFFY!!!!!!!!!!!
419551477591_2817776	It's so fluffy I'm gonna die!
419551477591_2817777	It's so fluffy, I'm gonna die!
419551477591_2817779	ITS SOOO FLUFFFFY!
419551477591_2817781	it's so fluffy im going to diedoes this count as annoying
419551477591_2817782	IT'S SO FLUFFY! Is there really a question!?
419551477591_2817783	its sooo fluffffyyyy!!!!
419551477591_2817784	ITS SOOO FLUFFYYYYYYY!!!!!<3 
419551477591_2817786	It's so fluffy I'm gonna DIIIIIEE!! It's so FLUFFY!!!
419551477591_2817787	when she got her new unicorn at the park
419551477591_2817790	"Does this count as annoying? *tuuuuuuutuuuu*"And "he's sooooo fluffy!"
419551477591_2817791	It's so FLUFFY!
419551477591_2817792	its soo fluffy!!!!!!!
419551477591_2817793	definitely its so fluffy!
419551477591_2817794	it was so funny
419551477591_2817795	IT'S SO FFLUFFAY!!!!
419551477591_2817796	It's so fluffy I'm gunna die
419551477591_2817797	ITS SO FLUFFY!! and is this sound annoying
419551477591_2817798	"I like him...he's nice!" "And scary..." "Yeah...Like SANTA!"
419551477591_2817799	"Fix It" and "It's so fluffy I'm gonna die!
419551477591_2817801	ITS SO FLUFFY!!
419551477591_2817802	Aaaaaaaaaaw. <3  My favorite is when she sings the unicorn song. <3 
419551477591_2817804	its soooo fluffy!!!
419551477591_2817805	ITS SOO FLUFFY IM GOING TO DIE!!!!!!!!
419551477591_2817807	aawww...The reading story scene and the "ITS SO FLUFFY!" also the..."Does this count as annoying?" (sounds of hands slapping cheeks in a cute little pop-pop-pop-pop)
419551477591_2817808	It's so fluffy!
419551477591_2817809	ITS SO FLUFFY!!!!!!!
419551477591_2817812	It's so fluffy!!
419551477591_2817813	I pretty much like the "It's so fluffy" part.
419551477591_2817814	It"s So Fluffy!
419551477591_2817815	omg she is adorable!!!!!!!!!!!!! =D =D =D
419551477591_2817817	When the minions bring her the "new" unicorn toy. lol
419551477591_2817819	i like him he's nice and scary like santa!
419551477591_2817821	"does this count as annoying?"
419551477591_2817823	When she is like does this count as annoying?
419551477591_2817824	IT'S SO FLUFFIEEEE!
419551477591_2817825	He's so fluffy!!!
419551477591_2817826	"IT"S SO FLUFFY!!!!!!!!"
419551477591_2817827	"...I bet their house is made of gummy bears!"
419551477591_2817828	its so fluffy!
419551477591_2817829	its so fluffy i could die... ITS SO FLUFFAYYYY!!!!!! =) i <3 Agnes!!!
419551477591_2817831	Its soo fluffy and the toilet brush unicorn lol 
419551477591_2817832	does this count as annoying (pop-pop-pop) or then theres It's so fluffy i'm gonna die, It's SOOO FLUFFY!!! Actually, i like every scene agnes is in... :)
419551477591_2817833	"Let's go destroy another game!"
419551477591_2817834	Its so fluffy!!
419551477591_2817835	Its so fluffy im gonna die ITS SOOOOO FLUFFFY
419551477591_2817837	the part with the cheeto. or when she says u poked a hole in my juice box
419551477591_2817838	i love this movie
419551477591_2817839	It's so flufffffyyyyyy (of course-like everyone else)!
419551477591_2817840	i love it when she says ITS SO FLUFFY. lol 
419551477591_2817841	I am a grown person, but it has to be the photoicopier scene!
419551477591_2817843	Sees the unicorn at the stand ans says...."It's so fluffy I'm Gonna Die!" Gets the unicorn and then says...."It's so FLUFFY!"
419551477591_2817844	It's so fluffy ! 
419551477591_2817845	The part where Agnes gets her new Unicorn and says " Sooooooooo fluffy!!"  in a very gruff voice. LOL
419551477591_2817846	It's so fluffy &does this count as annoying??
419551477591_2817847	when she's in bed at the orphanage and sings about unicorns before she goes to sleep
419551477591_2817848	"It's so FLUFFY", I love that part!!!
419551477591_2817849	ITS SO FLUFFY!!!
419551477591_2817850	Its so fluffy I am gonna die!Its so fluffy!
419551477591_2817851	oh mine is "its so fluffy im gonna die" HANDS DOWN... ohhhh and when she tells Gru that he is funny :D
419551477591_2817852	"It's so fluffy I'm gonna DIE!!"
419551477591_2817853	its SOOOOOOO FLUFFYYYY!!!!!!!!!
419551477591_2817855	IT"S SO FLUFFY!!
419551477591_2817857	It's so fluffy I'm gonna die!! *pause* its so fluffy!!
419551477591_2817859	when she says "it's so fluffy I'm gonna die!!"
419551477591_2817860	"It's so fluffy!"
419551477591_2817861	IT'S SO FLUFFY I'M GONNA DIE!/ IT'S SO FLUFFY!
419551477591_2817862	"Does this count as annoying......""It's so fluffy i'm gonna die!!!"   "It's so fluffy!!!"IT'S  SO COOL , I LOVE IT!!!!!!!!!!
419551477591_2817863	IT'S SOOOO FLUFFY!!!
419551477591_2817864	its so fluffy i could die...IT'S SO FLUUUFFFY!!!!
419551477591_2817867	It's so fluffy!!!!!
419551477591_2817868	it's so fluffy im gonna die! and does this count as annoying
419551477591_2817870	It's so fluffy I'm gonna die!
419551477591_2817871	If unicorns were real then I would pet one, and they are so I will!
419551477591_2817873	when she gets the stuffed unicorn
419551477591_2817874	It's so fluffy!
419551477591_2817875	It's just so fluffy I could die and I like does this count as anoying  
419551477591_2817877	It's so Fluffy!
419551477591_2817878	agnes is the BEST! love her!
419551477591_2817880	Yes "Its so fluffy!!" has to be my favorite..next to tiny toliet...hahaha
419551477591_2817882	When the Minions give Agnes her "Unicorn" . Priceless.
419551477591_2817883	ITS SO FLUFFY!!!!!
419551477591_2817887	ITS SOO FLUFFY <3
419551477591_2817888	Unicorn song =)
419551477591_2817889	Does this count as annoying?Its soo fluffy I'm gonna die.... ITS SO FLUFFY!!
419551477591_2817890	I saw this book at Borders yesterday!
419551477591_2817893	Agnes is sooo small compared 2 um...wats his name? the daddy. Oh, and i also like the "Unicorns I love them Unicorns I love them." one
419551477591_2817894	Its so Fluffy!!!
419551477591_2817896	I like when the breakone of the minions and use him like a glo-stick lmao
419551477591_2817897	"It's so fluffy I'm gonna die! IT'S SO FLUFFY! "
419551477591_2817898	the part when she says, " it's so fluffy!!"   LOL !!
419551477591_2817899	its so fluffy
419551477591_2817900	its so FLUFFY!!!!!!
419551477591_2817901	my favorite is when she holds her breath and passes out. and when they are trying to go to sleep and she starts singing about unicorns:D
419551477591_2817903	let's go blow up another game! :D
419551477591_2817905	Aww...My caterpillar never turned into a butterfly...That's a cheeto.Oh. *eats cheeto*
419551477591_2817906	IT'S SO FLUFFY!!!
419551477591_2817910	Edith: It was your cousin's idea! Dave the Minion: *What*? 
419551477591_2817911	"Gru is nice but creepy"  and agnes says "like Santa Clause!!"
419551477591_2817912	"It's so fluffy!!" is my favorite. i laugh every time i see it, every time!
419551477591_2817915	"ITS SO FLUFFY!"
419551477591_2817916	wow every time i keep refreshing more people like this hahahaha
419551477591_2817918	"its sooooooooo fluffy"
419551477591_2817919	ITS SO FLUFFY!!!
419551477591_2817921	"does this count as annoying" and "ITS SOO FLUFFY"!She looks like my daughter when she does that. lol THIS MOVIE IS TOO CUTE! 
419551477591_2817922	"IT'S SO FLUFFY!!!!!"  I couldn't stop cracking up when I saw that first preview... my bf thought I was nutty until I showed it to him. :-P
419551477591_2817923	It's so FLUFFAY!!
419551477591_2817925	Unicorn song, "It's so Fluffy I'm gonna die!", eh let's just call it EVERY scene she is in!
419551477591_2817926	ITS SO FLUFFY I COULD DIE!!!!!!!!!!
419551477591_2817927	i like the parts where the kids freezes him, it is so fluffy, and the dog trying to get the little girl without getting caught. best movie
419551477591_2817928	you guys actually read this this stuff is garbage
419551477591_2817930	Everyone's favorite: IT'S SO FLUFFY!!!!!
419551477591_2817932	"Three little kittens started to yawn" Now make them drink the milk.Wow,this is garbage!You actually like this? LMFAO
