10151475870412592_10053498	con ngựa kìa :(
10151463242167592_9997725	PINKY PROMISE...
10151463242167592_9997758	Cheng Qu
10151463242167592_10001159	HARRAY
10151463242167592_10001521	Thanh Linh : sắp có rồi kìaaaaa
10151463043292592_9996645	Dờ Tê Huệ Phương Nguyễn haha :3
10151463043292592_9996739	NANA??
10151463043292592_10003340	NO
10151461896262592_9991194	THE MINIONS
10151461896262592_9991226	Nancy Nguyen
10151461896262592_9991264	Nhii Dinh nè :3
10151461896262592_9991376	Ngân Mực
10151461896262592_9993138	Chú Béo tò he
10151461896262592_9993176	Chú Béo giỡn.chứ nặn.bằng đất sét đó, chắc a ko bít cái này
10151461896262592_9993428	CUTE! <3
10151461896262592_9995096	Pacific Nguyen ui vào xem này :x
10151461896262592_9995536	ALL ARE VERY CUTE!!
10151461896262592_9995877	THE PURPEL MINION!!! >:)
10151461896262592_9997047	THE MINIONS!!!!!
10151461642247592_9990302	NICE PHOTO
10151461642247592_10007736	COME TO MICHIGAN!
10151460189872592_26471655	LOVE!!!!
10151460189872592_26471749	OMG! Nancy Nguyen
10151460189872592_26471965	BE MORE LIKE DAVE
10151460189872592_26472582	Truc Hoang
10151460189872592_26472999	HAHAHA
10200590565219747_5530486	4th
10200590565219747_5530494	4th
10200590565219747_5530572	Anh Giữ Trẻ
10200590565219747_5530618	Hy VCR
10200590565219747_5530732	Thao Hoang!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10200590565219747_5530844	I LOVE THOSE MINIONS! W00T! lmao!
10200590565219747_5530945	NICE
10200590565219747_5531011	LOVE THE MINIONS!!
10200590565219747_5531110	Lê Hương Ly
10200590565219747_5531326	LOVE THIS MOVIE
10200590565219747_5532518	MADE MY LIFE!!
10200590565219747_5532885	Vicky Hu!!!!
10200590565219747_5533123	Giang Dương xD
10200590565219747_5533638	>H^$
10200590565219747_5533682	Thủy Trần Gee Bee Lyna Nhi Nguyen let's goooo watch this :D
10200590565219747_5534445	Phạm Thành Long: me gusta mucho
10200590565219747_5535040	Thủy Gà
10200590565219747_5536834	CAN'T
10151453631942592_9970851	Lâm JLin ♥
10151453631942592_9972355	HI.
10151453631942592_9972388	Trà Sữa thích quá :D
10151453631942592_9974371	Anh :0
10151453631942592_9975204	HAHAHAHAHA!!!!
10151453631942592_9976177	HA HA HA HA HA HA HA!
10151453631942592_9976948	Cồ Ba Gác :))
10151453631942592_9977783	Trà Nguyễn =))
10151453631942592_9977808	Sa KwonLee anh đâu có như vậy :3
10151453631942592_10048025	CUTE!
10151453703652592_9964671	Phương Chíck =))
10151453703652592_9972844	TWINS
10151453634962592_9959597	TOO CUTE!
10151453634962592_9959971	Ohhhhhhhhhh <3 <3 <3 <3
10151453634962592_9960861	*Q*
10151453634962592_9961427	(thinking)
10151453634962592_9961623	Too cute. Ashley Thanh Trang Vo
10151453634962592_9963338	phần 2 kìa.không bieets bao giờ mới được xem
10151453634962592_9963901	CUTE!
10151453634962592_10001052	hi
10200585376410030_5515700	Kiều Anh Nguyễn :))
10200585376410030_5515722	Trang Tấm ới ơi :*
10200585376410030_5515724	Nguyễn Lương Trường Huy :v
10200585376410030_5515728	Trang Nguyen :))))))
10200585376410030_5515842	Thao
10200585376410030_5515851	Nguyễn Thành
10200585376410030_5515901	Hờ Hờ Tờ
10200585376410030_5515917	Trang Lùn hihi ^^ =]]]]
10200585376410030_5515939	Tolu I-tờ
10200585376410030_5515958	Trung Nguyễn :)) Moca, Cacao, Papadom =))
10200585376410030_5516154	nyc 1
10200585376410030_5516162	Chan Chu Han
10200585376410030_5516288	Ngô Thiên :)
10200585376410030_5516297	Ashley Thanh Trang Vo
10200585376410030_5516473	Khuc Trong Nghia
10200585376410030_5516479	Đan Thanh Đặng Jerry Lau kakao papadam =))
10200585376410030_5516485	Chipy Bông Đb Nguyễn Huỳnh Khánh Đăng Nun Phạm Rui Trần Thy Huỳnh ngại gì ko chầu chực coi :))
10200585376410030_5516523	Lan Strong
10200585376410030_5516566	Dean Trương de thuong tóa cậu ui :))
10200585376410030_5516644	YOU LOOK NICE LOL
10200585376410030_5517047	Quỳnh Anh too fkin shweet :)))
10200585376410030_5517066	Tiểu Kan
10200585376410030_5517068	Gia Linh
10200585376410030_5517069	Minh Trang Bộp Nguyễn
10200585376410030_5517070	Vinh Phùng
10200585376410030_5517112	haha <3 TuilàAi SaomàVui
10200585376410030_5517214	NjjhhuC pho
10200585376410030_5517244	HAHAH
10200585376410030_5517587	Q_Q
10200585376410030_5517687	Ahhhhhhhh!!!!
10200585376410030_5518303	OMD HE LOOKS SO PRETTY!!! XD
10200585376410030_5518809	Lu Xe Củ Cải Xào đi xem thôi k chết bh
10200585376410030_5519064	tnx.
10200585376410030_5519317	Vicky Zhou LOL xDD
10200585376410030_5519475	Trương Quang Hòa
10200585376410030_5519514	Phong Nguyễn thấy zồ thấy zồi, mà tìm cái cmt bạn mention muốn lồiiii mắt ếch =))
10200585376410030_5519667	khi noao co thi di xem Sóc Top
10200585376410030_5519833	Tuấn TinThảo PonyoNguyen Quang DongTrai Ngoan
10200585376410030_5519835	k thích ông này :(
10200585376410030_5520299	Hong Nhung Phan <3
10200585376410030_5520752	Minh Minh
10200585376410030_5521864	Enru Uyên Bông Bánk Bò
10200585376410030_5521867	Ryk Flown s m cứ tag t vào fim này hoài v =.=" t k muốn coi
10200585376410030_5523159	CUTE!!!!!!!!!!!
10200585376410030_5523505	HOW CUTE!!!!!
10200585376410030_5524323	Hom nay la ngay danh cho cac ong bo mac du rat muon noi nhu bao nguoi nhung loi noi yeu thuong den cha minh,nhung mot tieng goi cha toi cug chang co co hoi nua thi lam sao day.....:::((((
10200585376410030_5524414	Ohhhhh
10200585376410030_5524508	Ngọc Mai vào coi này nè, :D
10200585376410030_5524530	CAKE!!!
10200585376410030_5525026	Max Chi Ho Tong
10200585376410030_5525617	Tram Anh VuTran Phi Vu
10200585376410030_5526009	Ahhhhhhhhhhhhhh!
10200585376410030_5545905	Khang Trần
10200585376410030_5570404	Huy Tí Xíu :)))))
10200585376410030_5570512	Nhận.haha
10151451768997592_9987854	Hong Quan đây nè :P
10151451634442592_9950158	LOVE THIS MOVIE
10151451634442592_9950309	PLEASE VOTE FOR ME http://www.kiss108.com/d/?6y
10151451634442592_9952547	CUTE ;
10151450171707592_9943033	BAH NAH NAH
10151450171707592_9944780	Oggy Oggy nhìn biến thái v~
10151450171707592_9944793	Mưa Kem bằng được m ư??? =))))))
10151450171707592_9944796	tất nhiên là ko r
10151450171707592_9944801	đề thấp m rồi =)))))))
10151450171707592_9945078	Xanh Lá Cây Chưa có xanh nhở
10151450171707592_9964409	dễ thương wa' Domjnjon Radjo
10151450171707592_9967983	Diệu Linh: quá dễ thương ý chứ v iu nhỉ
10151448444637592_9936447	quả đầu giống m ghê Mun
10151448444637592_9936599	Nguyen Quang DongThảo PonTrai Ngoan
10151448444637592_9936610	Lọ con màu tím kinh thế :v
10151448444637592_9937423	Trà Nguyễn: hót-chen của hè hai không mười ba =))
10151448444637592_9937722	Thao My
10151448444637592_9938416	Bùi Anh Tuấn vs Hạ Huỳnh  =)))))
10151448444637592_9939515	Hồ Cẩm Tuyên, tím của m kìa Junpi Lee
10151448444637592_9941149	HAHA !
10151448444637592_9991563	HAHA
10151459176355163_25478203	Thao Hoang  :) check it
10151459176355163_25480196	Born Die đập cho phát h :-w 3/7 ms.chiếu n* nó nhận đặt vé từ bh r :-w
10151459176355163_25480441	Mi Ri, Nguyễn Kim Ngân :))
10151459176355163_25482011	Dũng Trần
10151459176355163_25482164	Born To Die vớ vỉn [-x đã định sẵn là sinh nhựt đi xem r mà lị :)))
10151459176355163_25482179	Thanh Nga Gớm ko :)))) tời ơi cứ tg? nó chiếu r :))) đau tim
10151459176355163_25482203	Harry Trinh Chanel Tam!!
10151459176355163_25499386	HA HA HA ...
10151459176355163_25500475	Kégấn
10151459176355163_25501416	Tien Nguyen
10151459176355163_25515928	Lmao c:
10151459176355163_25524367	HOLLA
10151441542812592_9909283	Ohhhhh!!!!!!!!!!!!!!!!! :)
10151441542812592_9909384	Đông Phương Sóc =))))))))))))))
10151441542812592_9909469	Jerry Lau :v Đan Thanh Đặng :v
10151441542812592_9909683	Quỳnh Anh ôi mụ ơi :))) cái này làm tui nhớ hôm t6 nổi loạn tui cột 2 sừng qá =]]]]
10151441542812592_9909935	Tiểu Yêu Nữ =))))))))
10151441542812592_9910140	Quỳnh Thơ :D
10151441542812592_9910145	pi giới tính nữ, giờ có cả bơ na nơ nữ cho c nhé :))
10151441542812592_9912055	Uyên Doog đáng yêu quá *cắn vở* T___T
10151441542812592_9960237	12cm
10151441542812592_10044468	Banala Minionare Lại Thu Trang Scorp Grd Thuc Linh Nguyen
10151441203797592_9906784	BAH-NAA-NAA?!
10151441203797592_9906944	Aaahh....tha-tha-tha!
10151441203797592_9909689	Quỳnh Anh bà kìa =]]]
10151441203797592_9909752	Quỳnh Anh nooooo e ấy là của tuii :))) mình đã quyết trc đấy r :> k đc ăn gian ahahaha
10151441203797592_9909767	Quỳnh Anh con 2 mắt biến thái giống bà mà lo j :)))
10151441203797592_9909768	Quỳnh Anh con 1 mắt đc cái đếu bt như tui :))))
10151439790857592_9900457	TELL SOMEONE TO SHORTEN THE RELEASE DATE!!!
10151439790857592_9903150	:V
10151439790857592_9903496	:V
10151437914872592_9896490	N
10151436905802592_9906722	Belle Tran Út Tyn Sù Ngư
10151450219560163_25409061	Huynh Cindy
10151450219560163_25409084	LOVE THIS!!!!!!!!
10151450219560163_25409099	LOVE THIS!!!!
10151450219560163_25409412	Thao Hoang :)
10151450219560163_25409644	Chuwu Liu
10151450219560163_25410073	Ni
10151450219560163_25411081	nhanh lên nhanh lên :))
10151450219560163_25412031	:* tuyệt vời
10151450219560163_25412045	Trop hâte!
10151450219560163_25412101	Quỳnh Anh Bụi âhhaha
10151450219560163_25412265	Thanh Long
10151450219560163_25412424	Ly Chu :)) dễ thương chưa
10151450219560163_25412701	Zyn Lucky ... buttt ... nhìn cái mông nó buồn cười vãi =))
10151450219560163_25412839	Cloud Nguyễn :))
10151450219560163_25412950	Uchiha Chan
10151450219560163_25412966	Nguyen Quang Dong Thảo Pon
10151450219560163_25412991	Lọ Sociu tôi like rồi
10151450219560163_25413069	Trang Tấm tèn ten
10151450219560163_25413207	Quốc Quằn Quại Nguyên Naa sắp có phimmm r :))
10151450219560163_25414224	Nguyễn Huy : ko thể bỏ qua :D
10151450219560163_25414338	Nguyễn Phú HảiVe Nguyễn Ve:">
10151450219560163_25415216	Nguyễn Viết Tùng  Net Navi thế này mak bảo ko cute, Tammy Mjtsukj t7 a e ta lại đi xem tiếp
10151450219560163_25415582	Ua tuc cuoi thiet Tran Minh Hien
10151450219560163_25415842	Oggy Oggy hài vật vã
10151450219560163_25415921	An Vũ Phong nhớ đi coi nhazz <3
10151450219560163_25416059	Hờ Hờ Tờ
10151450219560163_25416114	Giahuy Buitrong
10151450219560163_25416300	tui khoái giọng cừoi  , cute trùm
10151450219560163_25416538	Nghi Vinh Nguyen
10151450219560163_25417330	Ttn Thăng Thật Thà :))
10151450219560163_25417596	Mi Na
10151450219560163_25418104	Thảo Thân Thiện ;)
10151450219560163_25418749	Trà Nguyễn: fai cho tan 1 thang nua co
10151450219560163_25419082	LOVE LOVE LOVE
10151450219560163_25419810	Qui Tran :))
10151450219560163_25420009	Linh Tinh =)) haha ngu chưa này
10151450219560163_25420022	Gấu Chuối: xem r xem r =)))) yêu v~ :x
10151450219560163_25420092	Vương Nguyễn Hồng :3
10151450219560163_25420447	Nam Anh kiki
10151450219560163_25420678	Hương Phạm :v!
10151450219560163_25421097	Phương Vy ;)
10151450219560163_25421665	tháng 7 đấy Vlad Blight
10151450219560163_25424024	Andy V Nguyen
10151450219560163_25426753	NICE!
10151450219560163_25431100	Hồ Nhật Quang huhu 3/7 T.T có chết t cũng phải xem
10151450219560163_25431523	Haunted Nguyễn, Nguyen Ngoc Han Bobo...
10151450219560163_25432957	Ayu Doan Vy Vivu
10151450219560163_25432971	Chii Bee bắt cho t 1 con di :(((
10151450219560163_25432982	Ayu Doan vay thoy ráng chiu kaka
10151450219560163_25441180	ánd thé óné wíth thé bánáná lóóks hígh lól
10151450219560163_25443307	I LOVE THE MINIONS
10151450219560163_25446787	Ahhhhhhhhhhhhhhhhhhhh!!
10151450219560163_25449244	Đông Phương Sóc :3
10151450219560163_25449520	NO
10151450219560163_25451613	máy chạy wa lâu ..k chời nổi nữa ui
10151450219560163_25456865	LOVE THESE GUYS....!!!!
10151450219560163_25463918	Mai N. Nguyen
10151450219560163_25464244	VETO
10151450219560163_25464763	Vy Đỗ idol của m kìa
10151450219560163_25465935	•=¥+£*£^!^!^!*£'hub
10151450219560163_25467678	hpgh; [n'.1/ m
10151450219560163_25469534	Lan Nguyen
10151450219560163_25480531	Dương Phương Lan
10151450219560163_25482017	Dũng Trần: hóng thôi chú :3
10151450219560163_25512193	Bao Yen Lam xem này cho đỡ sợ
10151450219560163_25512205	La Hoàng Anh Tú  anh ciu quá đeeeee
10151450219560163_25519141	Trường Gà dễ thương quá nó lòi đít trắng bóc kìa haha
10151450219560163_25527206	Thảo Nguyễn :))
10151443067760163_25373981	Pntquynh Bja  xem xã street nào :))
10151443067760163_25373995	Pntquynh Bja xem xã street nào :))
10151443067760163_25374067	Trà Nguyễn: khi nào có ấy down thử chơi xem tnào =))
10151443067760163_25374081	Vic Nhan
10151443067760163_25374123	Nin Tama Hải Quỳ hay chưa này
10151443067760163_25374260	Thảo Nguyên nè :)
10151443067760163_25374276	tag N chi Q :)) dễ thương ghê
10151443067760163_25374590	Quin Nguyen Phuoc
10151443067760163_25378850	má ơi siu dễ thưn ><
10151443067760163_25382971	Tran Vi Bao Ngoc hí hí
10151443067760163_25384740	HAHAHAHAHA!!!!!!!
10151443067760163_25448372	Ánh Ánh Hạnh Vi phim hw a bảo đấy :v
10151428948757592_10015413	CHARGE!!
10151443077910163_25363586	Huy Thịnh: Này *chỉ chỉ* :"3
10151443077910163_25363914	Phương Hằng XD XD XD
10151443077910163_25365111	HA
10151443077910163_25365800	LOVE THESE GUYS
10151443077910163_25370790	HE BACK
10151443077910163_25373561	I LOVE THE MINIONS
10151443077910163_25384210	Tôi Ti Tiện!!!
10151443077910163_25517918	hi
10151429000812592_9852664	LOVE him....
10151429000812592_9853330	HILARIOUS
10151429000812592_9854059	NICE
10151429000812592_9855145	LOVE THIS!
10151429000812592_9855404	TOTALLY AWESOME!!!
10151429000812592_9856148	LOVE LOVE LOVE!
10151429000812592_9866830	LOVE LOVE LOVE!!
10151428304222592_9848359	VERY!
10151428304222592_9848380	VERY
10151428304222592_9848442	n_n !
10151428304222592_9848450	Trang Lùn <3
10151428304222592_9848714	VERY.
10151428304222592_9848753	VERY!!!!!!!!!!!!
10151428304222592_9848813	VEEERY
10151428304222592_9848820	VERY!
10151428304222592_9848929	VERY!
10151428304222592_9849002	VERY!!!!
10151428304222592_9849239	Jenn Nguyen
10151428304222592_9849684	"VERY"!!
10151428304222592_9850238	VERY
10151428304222592_9852862	VERYYYYY.....
10151428304222592_9853499	QQ
10151428304222592_9854051	HAHAHAHAHAHHAHAH
10151428304222592_9866872	HAHAHAHAHHAHA
10151427306717592_9843692	HAHA
10151427306717592_9849458	HA!
10151427306717592_9968260	Ộp Bộp Chộp oimeoi giống Gru vãi
10200472102578255_5421465	cX
10200472102578255_5421576	Lốt Nhí Nhố hey!
10200472102578255_5422708	HAHA!!!!
10200472102578255_5422981	Sam Nguyen
10200472102578255_5423504	Santana Nguyễn choy oy con quỷ bee do khùng quá
10200472102578255_5424113	t
10200472102578255_5424401	Nam Dh xem phim này nhé
10200472102578255_5424751	nc1....
10200472102578255_5424867	Vic Nhan
10200472102578255_5424971	Trà Nguyễn: khi nào có đi xem đi =))
10200472102578255_5436440	CUTE!
10200472102578255_5453997	Li Bâu Nga Paula xem cái này chuwaa
10200472102578255_5454019	Đáng yêu quá Linh Ngô
10200472102578255_5454037	Nga Paula m xem thêm mấy cái dưới nữa đi :p đ.y dã mann, có khi hè này năn nỉ bm cho đi huhu :((
10200472102578255_5456453	nè Tô Gia Khánh
10200472102578255_5463644	HEHEHEHEHEHEHEH
10200472102578255_5479307	Đoàn Như Hoa
10200472102578255_5521188	Tố Như :))))
10200472102578255_5521194	Cheryl Nguyen =)))))) LOL cười bể bụng
10151418432967592_9799958	COME TO MAINE!!!!!
10151418432967592_9800390	Thai Vo
10151418432967592_9800489	BA NA NA
10151418432967592_9800901	Maru Chan, Marble Mad, Phạm Huy Hoàng
10151418432967592_9801546	Dờ Tê Huệ Phương Nguyễn ;))
10151418432967592_9802175	Pé Pi Huy Khùng how cute XD
10151418432967592_9852049	NICE TIE IN!!!!
10151417714262592_9796342	Quỳnh Anh Bụi và Linh :)))
10151417714262592_9796428	HHAHHAHAHHA!!!
10151417714262592_9796473	hi3
10151417714262592_9796927	Lâm Xungnhìn mặt gian chưa. ☺
10151417714262592_9796972	Tran Vi Bao Ngoc có thể tưởng tượng được cái điệu cười của nó :v
10151417714262592_9797031	Ứ. Mưn xemmmmmmmmmmm quá Sang Nguyen
10151417714262592_9797039	đề ý thì thấy 2 con này gần như là 2 con minion chính trong đám minion ý Tran Vi Bao Ngoc :D
10151417714262592_9798721	BABUYAN TAYO!!!!!
10151417714262592_9801553	Xời, yêu chưa :3 Dờ Tê Huệ Phương Nguyễn
10151417714262592_9876297	Trung Tri
10151417714262592_9910256	Trung Tri
10151417714262592_10044854	Khanh Dong fai tấm này ko m :))
10151417714262592_10044862	Uhm nó đó
10151417011402592_9794044	BAD TO THE BONE!
10151417011402592_9799694	"THEY SEE ME ROLLIN... THEY HATING" :p
10151417011402592_9811697	THUG LIFE
10151417011402592_9844250	VOLKER
10151415722257592_9791409	HAPPY!
10151415572652592_9912023	hh
10151414127777592_26143802	Nghi Nguyen
10151414127777592_26149081	TRILLION!!!!!!! >XD
10151422651655163_25196265	HAHHAH ^_^
10151422651655163_25196284	Kiên Nguyễn =))))) K de danh tien dan e coi phim nay deeee! Kakakaka
10151422651655163_25196297	Enoch Gang DUDEE!!!! HAHA QUACK QUACK
10151422651655163_25196447	THE QUALITY!!!!! *-*
10151422651655163_25196698	HAHAHAHAH
10151422651655163_25196900	Ngân Bụng Mỡ
10151422651655163_25196955	Tyt Tý Tởn he he :')
10151422651655163_25197048	LMFAO!!! Quack Quack
10151422651655163_25197552	LOVE!!!! <3
10151422651655163_25198144	Chunz Nguyen :3  :)))))))
10151422651655163_25198161	Giang Bốc Khói =))
10151422651655163_25198445	Khánh Anh must watchhhhhhhh
10151422651655163_25198462	Nhất trí cao nhé Mai Dâu!!
10151422651655163_25199939	Nhi Nhí Nhố
10151422651655163_25201311	Trambi Nguyen !!!!!!!!!! ;)))))))))) xâu kiu!!!!
10151422651655163_25207711	"QUACK QUACK"
10151422651655163_25209351	QUACK QUACK!!!!!!!!
10151422651655163_25219203	HAHA
10151422651655163_25220531	Nc.
10151422651655163_25236158	huh.... Quack Quack. XD
10151422651655163_25236328	CUTE !!!
10151422651655163_25241400	LOVE NUMBER 1
10151422651655163_25257733	HE POOPING
10151422651655163_25264320	HAHAH!
10151422651655163_25269816	AHHAHAH! *QUACK QUACK!* Lmfao!
10151422651655163_25279344	"Quack quack" xD
10151422651655163_25288770	Thao-Nguyen Tran QUNK QUANK
10151422651655163_25311284	HE....  POOPING?
10151422651655163_25347460	LOLZ XD
10151422651655163_25409706	QUACK QUACK!!
10151422651655163_25517424	HE POOPING XD
10151422651655163_25550032	QUACK QUACK! :)
10151422651655163_25567025	QUACK QUACK
10151422651655163_25583554	nc...
10151422651655163_25651790	Chuong Bui
10151407826887592_9783873	Ohhh
10151405427227592_9725207	HAPPY BIRTHDAY
10151405427227592_9725676	HBD
10151405427227592_9725688	hb
10151405427227592_9726849	HAPPY BIRTHDAY
10151405427227592_9878479	GIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIVE MEEEEEEEEEEEEEEEEEEEEE THE CUPCAKESSSSSSSSSSSSSSSSSSSSSS NOOOOOOOOOOOOOOOOOWWWWWWWWWWW
10151404381412592_9719194	True
10151404381412592_9719916	hi
10151404381412592_9720305	Huong Nguyen
10151404381412592_9721352	Han Lam đi xem ko em ?
10151404381412592_9730095	hi
10151404381412592_9737306	ONE MILLION
10151404381412592_9748552	Didi Pék Dâu Ngốc. phim e thích nè. <3
10151404381412592_9766853	Whoa!
10151404381412592_9767261	TWINKIES!!!!!!
10151404381412592_9769866	Hm 4
10151404381412592_9774115	háo hức quá!!!!!!!!!!!!!
10151404381412592_9776276	Bối Rối
10151414564815163_25129412	Nhi Nhí Nhố
10151414564815163_25129433	Tibby Chuối
10151414564815163_25129448	Lý Hoàng Kim Trang 3/7 nè gái!!! đi koi ko???^^
10151414564815163_25129832	Nguyễn Minh Triết "_
10151414564815163_25129978	REALLY NICE!!
10151414564815163_25130018	Chi Đỗ...:))
10151414564815163_25130553	Shine Sữa Chu Thanh
10151414564815163_25130646	LOVE LOVE LOVE
10151414564815163_25130897	Pù Pú Pu
10151414564815163_25131452	HAHA
10151414564815163_25131691	luv....  thnx
10151414564815163_25132103	CUTE!!!
10151414564815163_25134585	Vicky Hu :)
10151414564815163_25134961	TOOOO CUUUUUUTE!
10151414564815163_25135150	Dễ thương quá 3/7 <3..
10151414564815163_25135260	I WANNA WATCH THIS SO BAD C: C:C:C:C:c:c:c:c:c:c:c:cc:c:c:c:c
10151414564815163_25135983	Nguyễn Anh Tú
10151414564815163_25135990	Thanh Đoàn
10151414564815163_25137077	Iêu thế!!!!!
10151414564815163_25138519	h
10151414564815163_25138520	h
10151414564815163_25139742	CUTE!!!
10151414564815163_25144986	HOLY CUTENESS
10151414564815163_25147408	NICE REAL NICE
10151414564815163_25154439	HA!
10151414564815163_25195992	HA
10151414564815163_25207127	NUNU!!!!
10151414564815163_25288785	Thao-Nguyen Tran I KNOW WHAT MAKES YOU A BOY
10151414564815163_25504203	Nhok Luong Anh em muốn di xem cái này vs a huuuuu
10151399483992592_9688749	Eh. XD
10151398090192592_9679702	hahahha :))) Tường Bùi
10151398090192592_9686914	ME TOO
10151398090192592_9687834	HA..!!
10151398090192592_9724930	Anh Te Tởn
10151398090192592_9724963	Ava đê ô Đông Mai
10151396923342592_9670423	HA! HA!
10151396923342592_9670464	HAHA!
10151394152947592_9647194	ALL THE TIME!!
10151392572057592_25951004	Phùng
10151392572057592_25952504	Nhi Nhí Nhố
10151392572057592_25952623	COME TO TEXAS!
10151392572057592_25953455	COME TO BROOKLYN!!!
10151404405045163_25053071	Mít Tơ Su Gờ ngồi xem đê :v
10151404405045163_25053224	Dèèjày !!
10151404405045163_25053613	týýýdou týdouu...:*
10151404405045163_25055593	Anh Le ;;)
10151404405045163_25056248	Anh Giữ Trẻ
10151404405045163_25056931	Minh Nguyễn
10151404405045163_25058056	Dinh Tran Phuong Thao Phương Tỏi Tỏi gotta see this... =))
10151404405045163_25058117	Rylee Costello MA Xinh Đẹp
10151404405045163_25060151	Bờm Oreo
10151404405045163_25060872	Huynh Cindy OMGGG
10151404405045163_25061319	Nước Lạnh
10151404405045163_25075876	NO YOU CAN'T.
10151404405045163_25081357	Phương Linh
10151404405045163_25444399	chop chop chop chop chop chop chop!
10151404405045163_25524209	Trang Nguyen
10151389928987592_9595135	HAHA
10151389928987592_9595139	NICE!!!
10151389928987592_9595182	HAHAHA
10151389928987592_9596756	CUTE!!!
10151389928987592_9599582	Trang Cua MỗiNgày MộtTên
10151389928987592_9599982	Phuong Thao Nguyen :)))))
10151389928987592_9601411	Yan-Nam Pham
10151389928987592_9605387	HA HA
10151389928987592_9606417	NICE!!!!!!
10151389928987592_9609481	CUTE!!!!!!
10151389928987592_9609646	kìa Bẻo Hái :v
10151389928987592_9609931	Tên con này là gì nhỉ Frank trong Frankenstein chắc
10151389928987592_9610857	Chie Huynh: nó đâu giống gì a đâuuuuuuuu
10151389928987592_9610868	Phát Nguyễn dễ thương vãiiiiiiiiiiiiiii
10151389928987592_9612964	Dương Đức Trung =)
10151389928987592_9614059	Mèo Béo Tròn
10151389928987592_9627256	Khương Kháu Khỉnh :)) ước gì nó là màu hường nhỉ :))
