10151475870412592_10052264	Roni Pham
10151463488692592_26497545	Rosa Lin banana :)
10151463488692592_26497583	Cesar Arango Minions!!!
10151463488692592_26497737	happy!! :)
10151463488692592_26497770	Sun-ing Bird koi dj, nge bainay tíu gê
10151463488692592_26497924	i did clap along! <3
10151463488692592_26497930	Karla Arango :)
10151463488692592_26498068	im happy
10151463488692592_26498307	Alia Jiwani
10151463488692592_26498311	Karina VilLalpando
10151463488692592_26498395	Good song.
10151463488692592_26498484	*claps along*
10151463488692592_26498492	Popoe Ptata Popoe, Pappy Papy Psos
10151463488692592_26498630	Agripina Romero <3
10151463488692592_26500212	. . .  peborit natin Jonathan Ybañez Abuan:-)
10151463488692592_26500376	Rain <3 <3 <3 clap along~
10151463488692592_26500430	aw....minion <3
10151463488692592_26500464	Egg Tan
10151463488692592_26501346	Happy!!
10151463488692592_26501351	Clap along
10151463488692592_26501366	Happy!! :D
10151463488692592_26501369	happy!
10151463488692592_26501448	Happy!
10151463488692592_26501520	happy
10151463488692592_26501707	Happy :)
10151463488692592_26501726	banana
10151463488692592_26501750	happy : )))))))
10151463488692592_26502330	Papoy Mei
10151463488692592_26502790	Adriana Cristina
10151463488692592_26502820	clap along if you..............happyyyyyyyyyy
10151463488692592_26502969	Clapping!!!
10151463488692592_26503088	Yay! Clapping!
10151463488692592_26503817	Happy,Happy,Happy....
10151463488692592_26503880	I'm clapping...
10151463488692592_26504401	trippy man
10151463488692592_26504705	sama..:-)
10151463488692592_26504774	Paula Triana Medina awwww
10151463488692592_26505094	Clap along!
10151463488692592_26506822	im happy haha
10151463488692592_26508718	HappyHappy Happy!
10151463488692592_26510009	Clap.....Clap.....Clap!
10151463488692592_26510128	Adlina Minassi
10151463488692592_26510175	Ana
10151463488692592_26510261	im happy
10151463488692592_26511836	aaaa no. I wasn't clapping.
10151463488692592_26516345	I'm Clapping BBE!!
10151463488692592_26517409	happy :3
10151463488692592_26519581	anoiyng
10151463488692592_26523594	great song makes me happy
10151463488692592_26525983	Clap along everyone
10151463488692592_26526946	Im clapping along now what
10151463488692592_26538970	Clap!!!!!!!!
10151463488692592_26541503	AWESOME
10151463488692592_26550724	so happyyyy :)
10151463488692592_26562482	LuNa Moon Jean TehMao Mao Fur Shu Han Yiting Keah
10151463488692592_26565279	I'm happy
10151463488692592_26576600	happy
10151463488692592_26580836	happy
10151463242167592_9997698	AAAAAAHHHHHH!!!!
10151463242167592_9997706	no
10151463242167592_9997735	Pinky promisr hahhaha lol :D
10151463242167592_9997869	cnt wait, omgomgomg!! XD
10151463242167592_9997877	omgomgomgggggggg
10151463242167592_9997946	Nikki Macolino Alyssa Fontana Anthony Messina
10151463242167592_9998154	Bob Ling
10151463242167592_9998161	no
10151463242167592_9998722	no
10151463242167592_9999397	now you talking.
10151463242167592_9999414	Regina EF
10151463242167592_9999454	Jyotsana Sabina Abina Pragya dd ticket kinam, janey haina :)
10151463242167592_10000482	waiting waiting ^_^
10151463242167592_10001305	Waaaaiiitinggg!
10151463242167592_10001655	Alae Dagh Asmaa Az :D
10151463242167592_10001788	waiting . .
10151463242167592_10015964	no
10151463242167592_10023030	no
10151463242167592_10052618	ang cute ni agnes
10151463043292592_9996732	banana
10151463043292592_9996791	Umm "banana..?"
10151463043292592_9996797	look banana, ohhhh banana
10151463043292592_9996834	Yep, Copa Banana
10151463043292592_9997043	Nana BaNahNAh!
10151463043292592_9998342	you want a banana, I got lots of bananas.
10151463043292592_10000215	Banana Banana BANANA!!!!!!!!!
10151461896262592_9991099	omg omg omg a UNICORN <3
10151461896262592_9991112	Ginny Ann
10151461896262592_9991160	Papoy!!!
10151461896262592_9991181	Papoyy,,!!!
10151461896262592_9991191	Ayanna Jones
10151461896262592_9991196	ALL
10151461896262592_9991247	Jayna Evans
10151461896262592_9991249	"Ashley Yang"
10151461896262592_9991270	PAPOY!!
10151461896262592_9991463	Amazing!
10151461896262592_9991535	Angie
10151461896262592_9991559	omg yes!!!
10151461896262592_9991605	Omg!
10151461896262592_9991725	Papoy ohhhh papoy :)
10151461896262592_9991760	Zihan Xiong I CAN'T WAIT :D :D :D
10151461896262592_9991774	minyons
10151461896262592_9991856	Minkyung Kim!!!! AHHH AND UNICORNS
10151461896262592_9991944	omg UNICORNS:)
10151461896262592_9991971	So going
10151461896262592_9991978	ALL
10151461896262592_9993037	Banana
10151461896262592_9993239	banana Law Rence
10151461896262592_9993439	PACOY!!!
10151461896262592_9993478	Paola Ch
10151461896262592_9994284	omg it do fluffy... papia
10151461896262592_9994295	Papoy? no no no no Papooy
10151461896262592_9994364	Banana !!
10151461896262592_9994754	Paige Eagles
10151461896262592_9995182	my papoys lol
10151461896262592_9996562	Papoy! Lol
10151461896262592_9996821	sarap panoorin nyan!!!
10151461896262592_9997631	ALL
10151461896262592_10000496	Waiting... :)
10151461896262592_10001835	<3 JamPing Tuleng
10151461896262592_10005704	ALLL
10151461896262592_10025077	Omg no way I want one
10151461896262592_10041508	ALL
10151461642247592_9989674	Is it coming to san Diego? ??
10151461642247592_9989752	I saw that blimp on Sunday
10151461642247592_9989805	Romina Manolio look up??!?!?!?!
10151461642247592_9989892	i saw that in odessa ,tx not 2 long ago!!
10151461642247592_9990106	I saw it 2 days ago by san pedro port :p
10151461642247592_9990150	Saw it
10151461642247592_9990416	I saw it!!!!
10151461642247592_9990443	I saw it like 50,000 times
10151461642247592_9990453	I saw it in El Paso, TX
10151461642247592_9990605	i saw this at santa monica! :D
10151461642247592_9990716	I saw it
10151461642247592_9990732	Saw it
10151461642247592_9990931	I saw it
10151461642247592_9991080	Illuminaaty
10151461642247592_9991461	I saw it in anaheim
10151461642247592_9992021	Mandy Zhao
10151461642247592_9992087	I saw it in Las Vegas
10151461642247592_9992268	i saw it in LA
10151461642247592_9993154	Omg I saw that
10151461642247592_9993228	Saw it
10151461642247592_9993562	Bao Nguyen look
10151461642247592_9995107	I saw it!!!!!
10151461642247592_9995626	omgomgomgomgomgomg Natalie Maylin
10151461642247592_9996504	I saw it in Burbank!
10151461642247592_9996555	I saw it in anaheim it was AWESOME!!!!!!!!!
10151461642247592_9997747	I saw it at Tustin
10151461642247592_9999826	I saw it
10151461642247592_10001458	Ulawni c:
10151461642247592_10013029	I saw it in San Pedro (:
10151461642247592_10037727	so long=)
10151460189872592_26471715	Hra Aigaleo
10151460189872592_26471920	not banana chasing lol
10151460189872592_26472789	Lisa Dang
10151460189872592_26472841	Zihan Xiong
10151460189872592_26478240	AMAZING
10151460189872592_26569460	Samantha Maiolo
10200590565219747_5530765	Mohit Agarwal
10200590565219747_5530805	aw  lol ^_^
10200590565219747_5530919	Jimmy Angel
10200590565219747_5531213	Angelina Goodwin
10200590565219747_5531859	Oksana Bodnar
10200590565219747_5531894	omg haha
10200590565219747_5531950	Troy Hamilton
10200590565219747_5532133	AWESOME
10200590565219747_5532159	papoy!
10200590565219747_5532203	Hahaha Luis Zavala!
10200590565219747_5532245	paaaa bottom:)P
10200590565219747_5532368	<3 it!
10200590565219747_5532432	Gusto ko ng mapanuod
10200590565219747_5532480	Angaleana Claire Smith
10200590565219747_5532619	Luuuuuving it!!!
10200590565219747_5532620	Alyssa Taylor
10200590565219747_5532733	Ana Maria  :)
10200590565219747_5532997	waiting :)
10200590565219747_5533582	Okay ba baboy, no need to watch nako in big screen! Hahaha Roland Albano
10200590565219747_5533608	Roland Albano di na gane ako mutan.aw hahaha
10200590565219747_5534105	Oggy Oggy ơi
10200590565219747_5534763	kahit anung mangyari papanoorin ko toooooo!!!!!
10200590565219747_5541429	I got a Dave toy aka a minon
10200590565219747_5559502	Mayra Lopez
10151453631942592_9970833	Anna Tran
10151453631942592_9970936	Lmao. Can't wait
10151453631942592_9971077	Runrong Kwan
10151453631942592_9971361	Alena  baboi  :-D 
10151453631942592_9971856	Haha l0ok at his n0se :p
10151453631942592_9971977	Lmao
10151453631942592_9972040	Darian Ngo  Caitlynn Chung lmaoooo minion mama????
10151453631942592_9972254	Si t portas mal t mando una igual!!!!
10151453631942592_9972319	Mia tina?
10151453631942592_9972482	Haha love it! Holanda Salinas
10151453631942592_9973545	Lol, aww.
10151453631942592_9973647	Sarah Salinas as a girl
10151453631942592_9973740	Samantha Waipa HAHAHAHAHAHAHAHAHAHAHA
10151453631942592_9974123	Looking good Gru
10151453631942592_9974436	thats kinda nasty
10151453631942592_9975120	Anghie Uy
10151453631942592_9975859	Looking good Gru!
10151453631942592_9976649	Kathy Casiano
10151453631942592_9978208	bababanana!!!!!!!!!!
10151453631942592_9979163	Issa Gaytan
10151453631942592_9979890	Lmao
10151453631942592_9986119	galing ni ate ta len ha
10151453703652592_9964584	AWWWW
10151453703652592_9964586	no
10151453703652592_9964730	PIZZA
10151453703652592_9964928	Kanwal ahhh omg!!
10151453703652592_9964980	Omg
10151453703652592_9968713	Lmao Kayla Mae ;)
10151453634962592_9959573	.... no
10151453634962592_9959589	Aw.
10151453634962592_9959655	AWESOME
10151453634962592_9959955	omg omg
10151453634962592_9959999	Antonio, huh?
10151453634962592_9960034	Omg<3
10151453634962592_9960064	Papoy!!!;) Shiasu Matsuyama :)
10151453634962592_9960223	Aggggh yay!!!
10151453634962592_9960242	Oh snap!
10151453634962592_9960291	Yan Pala Ung txtm8 nya
10151453634962592_9960472	Paula~!!! :o
10151453634962592_9960474	Omg ;o
10151453634962592_9960577	Lisbik, may ka-lab team na si margo sa 2.
10151453634962592_9960824	Ang cute! May crush na si margo dita sa Despicable II! :">
10151453634962592_9960890	omg XD
10151453634962592_9961429	gru going to kill him
10151453634962592_9961465	Serena Wang Rennie Jiang Cindy Wu Cheryl Lin Omi Naomi Yang Natalya Langford
10151453634962592_9961545	Tino
10151453634962592_9961678	omgomgomg YES
10151453634962592_9962083	Moisés Arias is amazing!!!
10151453634962592_9962432	shiping it
10151453634962592_9962610	napalabas na ba to?
10151453634962592_9964193	Mantonio haha
10151453634962592_9964574	oh snap lol :)
10151453634962592_9964613	Omg
10151453634962592_9967445	Omg
10151453634962592_9967476	Omg
10151453634962592_9972354	Omgggg! Makaylin Randall
10151453634962592_10005902	AWW
10200585376410030_5515654	Ana Beauchamp
10200585376410030_5515666	Phanna Pocky!!!! Ahhh dying.  
10200585376410030_5515717	moca , kakao , papadum ? <3 <3
10200585376410030_5515758	lmao!
10200585376410030_5515761	Angelina
10200585376410030_5515782	Anthony Ruminski :]
10200585376410030_5515826	<3 it!!
10200585376410030_5515864	Anisha Manohar :D
10200585376410030_5515871	Natalia A. Arango
10200585376410030_5515880	Ana Hidalgo LOL
10200585376410030_5515942	mocha, kakao, papadom
10200585376410030_5515983	Hy Dang <3
10200585376410030_5516049	Lmao!! Omg xD
10200585376410030_5516096	Madison Langham
10200585376410030_5516144	Joana ^.^
10200585376410030_5516281	Lamo  omg so seeing it looks funny
10200585376410030_5516371	Sang Le Dustin =)) Lol
10200585376410030_5516427	lmao!
10200585376410030_5516447	Zgggz g h ch xggggggg going tov g baaaumNjuu
10200585376410030_5516469	Lmao
10200585376410030_5516591	Omgggg I can't wait!
10200585376410030_5516706	Kaitlyn Simpson
10200585376410030_5516730	AHAHHAHAHAHAH
10200585376410030_5516733	uggg!
10200585376410030_5516757	haha papoy!
10200585376410030_5516776	Lucho Pizano miraaaaa
10200585376410030_5516896	Lyna Payne
10200585376410030_5516900	lmao!
10200585376410030_5516918	Lyna Payne
10200585376410030_5517348	Lisa Dolan
10200585376410030_5517944	Lisa Kaye
10200585376410030_5518020	Sheena Tan Tang Xinquan
10200585376410030_5518389	Khomlalsang Pakhuongte haha
10200585376410030_5518409	AHHHHH!!!!
10200585376410030_5518422	1080 P
10200585376410030_5518525	Mike Campagna
10200585376410030_5518542	Daniella Tsymbal
10200585376410030_5518558	<3 it!
10200585376410030_5518651	Hahahahaha! I can't wait !!! Ilv it!
10200585376410030_5518761	Freddy Ang !!
10200585376410030_5518985	p;
10200585376410030_5519131	haha.  papoy Morbid! :)
10200585376410030_5519180	Jose Luis Angulo
10200585376410030_5519230	Mayumi Makino :)
10200585376410030_5519268	Lyhong GT
10200585376410030_5519416	Adriana Aksnowicz
10200585376410030_5519710	Ma Cong
10200585376410030_5519721	Paloma Fierro na na na na na.. na na na na na..
10200585376410030_5519767	Izanami Xilwarg tignan mo
10200585376410030_5519931	Zihan Xiong OMG
10200585376410030_5520136	haha... this is awesome, bongok la minion yg berjambang tu
10200585376410030_5520216	<3 papa
10200585376410030_5520406	Ashley Kang
10200585376410030_5520459	Kris Cababat
10200585376410030_5520501	mocha.. kakao.. papadum.. ^_^
10200585376410030_5520612	Ka[ri it's https://www.youtube.com/watch?v=RScYA_fBqKY
10200585376410030_5520788	Tina Huang
10200585376410030_5520868	Chloë Tayali
10200585376410030_5521175	Subin Yoon
10200585376410030_5521714	Brittany Zapata
10200585376410030_5522009	hasta manana Anita!!!!!
10200585376410030_5522225	papadom
10200585376410030_5523499	Samantha Luk
10200585376410030_5523616	Lmao
10200585376410030_5524080	ammmaaaazingg i wanna see it lol
10200585376410030_5524215	Lmfaaao omgawwwwd I wanna watch Erika Villatoro
10200585376410030_5525295	Runrong Kwan
10200585376410030_5525355	임지수Kim Min JeongHayon YoonJaeyoung Yun
10200585376410030_5526636	omg amazing
10200585376410030_5526685	Lmao
10200585376410030_5526845	lol nigga
10200585376410030_5527810	Zachary Fanguy!!!
10200585376410030_5528248	pooka? a babalbo....haha pooka!
10200585376410030_5528267	agh!! mooka,  hmph! kakao!, hmm.. papadem? LOL!!
10200585376410030_5528635	Otay ;I
10200585376410030_5528656	Triston Phagan
10200585376410030_5528785	1. ni
10200585376410030_5528808	Katina Rose Kasian Kastino :'D
10200585376410030_5543750	Gan Boon Li
10200585376410030_5550799	Lightining Gonzalez lol i want to see it. ahahaha
10151451768997592_9950940	Banana ! Lol
10151451768997592_9951184	oh!Banana! :)
10151451768997592_9951694	Dave~  banana~~
10151451768997592_9951801	FongEng Goh
10151451768997592_9955101	Iam going..:)
10151451768997592_9974949	no
10151451768997592_9980327	I'm loading yippy ;)!!!!
10151451768997592_10017223	meron ako nyan sa cp ko ehh ! ..
10151451634442592_9953385	Oi mong cho mai :D
10151450171707592_9943013	"Bananana?'
10151450171707592_9943020	One bah-na-na for you, one bah-na-na for me!
10151450171707592_9943030	na na?
10151450171707592_9943036	"Do you like Pina Coladas?"
10151450171707592_9943039	bapoy
10151450171707592_9943043	Ehhh pappopsicle...nah no na no bahnannana...
10151450171707592_9943047	Its banana
10151450171707592_9943054	Banana anyone?
10151450171707592_9943055	Ba na na na, ba na na na. Minion.
10151450171707592_9943061	"Banana?"
10151450171707592_9943065	Banana?
10151450171707592_9943076	Pappopsicle...nah no no bahananan....,
10151450171707592_9943081	Banana phone!
10151450171707592_9943096	"Banana?"  "Uh uh uh, pop pop or banana!?!! Ahhh"
10151450171707592_9943097	Aha ha ha! Banana? Pa-pou?
10151450171707592_9943102	Ooooo ba-na-na.....you want it?
10151450171707592_9943103	Copa copa banana!! Ohh banana!
10151450171707592_9943104	Banana banana freeze pop mmmmmm
10151450171707592_9943115	Guba Guba a banana 
10151450171707592_9943119	(In a lisp) Boo-na-na?
10151450171707592_9943126	I've got Bananas B.A.N.A.N.A!
10151450171707592_9943144	Co co ba nana?!
10151450171707592_9943145	Ring ring ring ring ring ring ring....bananaphone
10151450171707592_9943149	Ring Ring.. Banana Phone
10151450171707592_9943156	Gelato ...... No ba...na...na.... !
10151450171707592_9943171	thanana !!!
10151450171707592_9943173	Banana ...banana! Lick Banana ....no cold banana! Haha banana stick freeze! Ha ha ha
10151450171707592_9943192	Ba-na-na ba ba nana
10151450171707592_9943217	One Banana, Two Banana, Three Banana, FORE!
10151450171707592_9943229	bananna pop? bananna BOMB!!! bomb....
10151450171707592_9943233	Oooohhhh bananana <3 <3<3
10151450171707592_9943240	"Bannannna song?"
10151450171707592_9943258	Ah! balala?..
10151450171707592_9943260	"Hi...my name is Hav-a Banana".....
10151450171707592_9943264	minion 1: baa na na? minion 2: eh?
10151450171707592_9943276	1 banana, 2 banana ,POPSICLES!
10151450171707592_9943279	Minion #1- Ba na na! Minion #2- Waaaaa??? 
10151450171707592_9943283	banana... BANANA....
10151450171707592_9943293	Coco-banana. Lol
10151450171707592_9943297	"Banana!!??" "Uhhha Nawope"
10151450171707592_9943310	Ohh. Blanana!
10151450171707592_9943332	You wanna a banana nanana not ice cream a nanana banana
10151450171707592_9943343	You bananas me bananas we all bananas
10151450171707592_9943358	Ba ba ba bananana
10151450171707592_9943360	"Ba-Na-Na-Na?...Mmmm, Ba-Na-Na-Na!"
10151450171707592_9943362	Para tu banana? Haaha no ugh ho ah pop pop
10151450171707592_9943379	bannana?
10151450171707592_9943387	Banana? Lol
10151450171707592_9943400	To banana or to not banana!
10151450171707592_9943403	"Ba-na-na!"
10151450171707592_9943412	1 banana 2 banana 3 POPSICLE!!!!!!!!!!!!!!!!!!!!!! That's not a banana
10151450171707592_9943416	Do You want a banana?
10151450171707592_9943445	Ba Ba Ba, banana, ba ba ba, banana!!!!
10151450171707592_9943449	Bananas + Popsicle=bananasicle! What?
10151450171707592_9943459	"Bahnana fix it."
10151450171707592_9943464	" I got a banana, I got a banana!...... Do you want a banana?"
10151450171707592_9943480	Banana! Banana! Banana! Banana! Popsicle! Popsicle! Popsicle! Popsicle!
10151450171707592_9943486	Banana?
10151450171707592_9943498	Ba nan na nah?? Hehehehe
10151450171707592_9943499	Ba na na na na ahhh
10151450171707592_9943528	Banana?......Bababa?
10151450171707592_9943560	Banana! Papoy? No no no... ba. Na. Na. Oooooohhhhh heh heh. Banana.
10151450171707592_9943586	Papoy, Bonana trade haa
10151450171707592_9943607	Banana hands! OOOOOOOOOOOO! AAHHHHH!
10151450171707592_9943619	hula hula... bananas and popsicles.... UH?
10151450171707592_9943623	Ring, ring, ring....banana phone. "Its tongue doctor". "Yeaaaaa".
10151450171707592_9943631	Coco banana!
10151450171707592_9943645	Nana?  No no no no  Naa Naa.  Nana?  No no no no no Naa Naa . Nana? (Pull-Rip icicle) Naa Naa...  aaaahhhh(scream) Naa Naa :-)
10151450171707592_9943671	Ducka ducka bananny papoy?Whaaaaaaat?
10151450171707592_9943701	I'm a banana
10151450171707592_9943794	Banana?,  BBBAAAAANNNAAAANNNNAAAAA!!!!!!
10151450171707592_9943801	Banana
10151450171707592_9943816	Aqui. Banana?
10151450171707592_9943826	Aren't you glad you ain't a banana?
10151450171707592_9943839	I got 2 banana, I got 2 banana, I got 2 banana today! Hey! Hey!
10151450171707592_9943841	Tubble in Boba Banana!
10151450171707592_9943864	ba ba ba na na na ! Potaatooo
10151450171707592_9943865	stop looking at my Coconuts...look at my bananas!!!
10151450171707592_9943899	Banana?
10151450171707592_9943909	Minion Cabana Vacation....Baa Baa Naa
10151450171707592_9943952	banana? is that us?! or banana?ahhhh
10151450171707592_9943991	1. Banana2. Oh, Banana Banana Banana1. Mine, (takes a bite) 2. urg!1. HAHAHAHA
10151450171707592_9944003	banana?
10151450171707592_9944032	Minion 1: baaaaa na na na. ba na na naaaaaa Minion 2:.......ehhhhhhhh (popsicle stuck to tongue so minion can't speak)
10151450171707592_9944092	Say Ban-An-Na-Na!Bom-NOM-Na!
10151450171707592_9944140	Eyeballing my banana? Wana trade???
10151450171707592_9944184	Haha not banana
10151450171707592_9944231	SHORT MINION: Ba-na-naaa?  I wanna pop-SEEE-cilllllllll
10151450171707592_9944329	Banana?,  ice pop :-)
10151450171707592_9944334	Copa-Banana
10151450171707592_9944415	its banana's man boomerang
10151450171707592_9944445	Banana?
10151450171707592_9944464	Lightbulb! Bananasicle
10151450171707592_9944496	Minion 1: Banana? Minion 2: Yay! Potato!
10151450171707592_9944567	Banana? BANANAAAAAA!
10151450171707592_9944609	Ooo look at those nana's
10151450171707592_9944610	Banananana?
10151450171707592_9944618	Put some banana on it!
10151450171707592_9944629	ring ring banananana phone
10151450171707592_9944634	Banana? No, .... Boss
10151450171707592_9944742	Toma... para TU...  oh banana !!!!
10151450171707592_9944775	Banana?
10151450171707592_9944809	:P
10151450171707592_9944848	1 banana, 2 bananas
10151450171707592_9944864	ba ba ba na na na, ba ba ba na na na-  no Potatoe na!
10151450171707592_9944993	Banana or BAH-NAN-AAAAA????? YAH????
10151450171707592_9945050	Banana? mmmmm BANANA!!!!!!!
10151450171707592_9945277	mmm... baannana? mmm.... BANANA!
10151450171707592_9945318	Eh kopakabana?
10151450171707592_9945425	Minion 1: ba ba ba ba ba na na?? Ba ba ba ba na NAAAAAAA?? *big smile*Minion 2: eh???? *ignore*:P
10151450171707592_9945509	Yuck. Banana ?Ahh Banana !! 
10151450171707592_9945559	"Banana? EH? Banana? EH BANANA!!!"
10151450171707592_9945753	Banana?!? 󾌳
10151450171707592_9945995	papoy!
